Person,Date of birth,Birthplace,Country of birth,Award,Edition,Movie,Year of award,Bio NNDB,Bio IMDb,Bio Wikipedia,imdbID,movieID,movie_IMDB_Link,,Birth Year,Age When Award
Leonardo DiCaprio,1974/11/11,Hollywood,United States of America,Best Actor,88th Academy Awards,The Revenant,2016,https://www.nndb.com/people/581/000023512,https://www.imdb.com/name/nm0000138,https://en.wikipedia.org/wiki/Leonardo_DiCaprio,nm0000138,tt1663202,https://www.imdb.com/title/tt1663202/,,1974,42
Alicia Vikander,1988/10/3,Gothenburg,Sweden,Best Supporting Actress,88th Academy Awards,The Danish Girl,2016,,https://www.imdb.com/name/nm2539953,https://en.wikipedia.org/wiki/Alicia_Vikander,nm2539953,tt0810819,https://www.imdb.com/title/tt0810819/,,1988,28
Patricia Arquette,1968/4/8,Chicago,United States of America,Best Supporting Actress,87th Academy Awards,Boyhood,2015,https://www.nndb.com/people/207/000026129,https://www.imdb.com/name/nm0000099,https://en.wikipedia.org/wiki/Patricia_Arquette,nm0000099,tt1065073,https://www.imdb.com/title/tt1065073/,,1968,47
Julianne Moore,1960/12/3,Fort Bragg,United States of America,Best Actress,87th Academy Awards,Still Alice,2015,https://www.nndb.com/people/670/000023601,https://www.imdb.com/name/nm0000194,https://en.wikipedia.org/wiki/Julianne_Moore,nm0000194,tt3316960,https://www.imdb.com/title/tt3316960/,,1960,55
Alejandro Gonz??lez I????rritu,1963/8/15,Mexico City,Mexico,"Best Writing, Original Screenplay",87th Academy Awards,Birdman,2015,,https://www.imdb.com/name/nm0327944,https://en.wikipedia.org/wiki/Alejandro_Gonz%C3%A1lez_I%C3%B1%C3%A1rritu,nm0327944,tt2562232,https://www.imdb.com/title/tt2562232/,,1963,52
Alejandro Gonz??lez I????rritu,1963/8/15,Mexico City,Mexico,Best Director,87th Academy Awards,Birdman,2015,,https://www.imdb.com/name/nm0327944,https://en.wikipedia.org/wiki/Alejandro_Gonz%C3%A1lez_I%C3%B1%C3%A1rritu,nm0327944,tt2562232,https://www.imdb.com/title/tt2562232/,,1963,52
Alejandro Gonz??lez I????rritu,1963/8/15,Mexico City,Mexico,Best Picture,87th Academy Awards,Birdman,2015,,https://www.imdb.com/name/nm0327944,https://en.wikipedia.org/wiki/Alejandro_Gonz%C3%A1lez_I%C3%B1%C3%A1rritu,nm0327944,tt2562232,https://www.imdb.com/title/tt2562232/,,1963,52
Mark Rylance,1960/1/18,Ashford,United Kingdom,Best Supporting Actor,88th Academy Awards,Bridge of Spies,2015,,https://www.imdb.com/name/nm0753314,https://en.wikipedia.org/wiki/Mark_Rylance,nm0753314,tt3682448,https://www.imdb.com/title/tt3682448/,,1960,55
Emmanuel Lubezki,1964/11/30,Mexico City,Mexico,Best Cinematography,88th Academy Awards,The Revenant,2015,,https://www.imdb.com/name/nm0523881,https://en.wikipedia.org/wiki/Emmanuel_Lubezki,nm0523881,tt1663202,https://www.imdb.com/title/tt1663202/,,1964,51
J. K. Simmons,1955/1/9,Detroit,United States of America,Best Supporting Actor,87th Academy Awards,Whiplash,2015,https://www.nndb.com/people/185/000026107,https://www.imdb.com/name/nm0799777,https://en.wikipedia.org/wiki/J._K._Simmons,nm0799777,tt2582802,https://www.imdb.com/title/tt2582802/,,1955,60
