Person,Date of birth,Birthplace,Country of birth,Award,Edition,Movie,Year of award,Bio NNDB,Bio IMDb,Bio Wikipedia,imdbID,movieID,movie_IMDB_Link,,Birth Year,Age When Award
Colleen Atwood,1948/9/25,Yakima,United States of America,Best Costume Design,78th Academy Awards,Memoirs of a Geisha,2005,https://www.nndb.com/people/928/000031835,https://www.imdb.com/name/nm0041181,https://en.wikipedia.org/wiki/Colleen_Atwood,nm0041181,tt0397535,https://www.imdb.com/title/tt0397535/,,1948,57
Rachel Weisz,1970/3/7,Westminster,United Kingdom,Best Supporting Actress,78th Academy Awards,The Constant Gardener,2005,https://www.nndb.com/people/309/000032213,https://www.imdb.com/name/nm0001838,https://en.wikipedia.org/wiki/Rachel_Weisz,nm0001838,tt0387131,https://www.imdb.com/title/tt0387131/,,1970,35
Cathy Schulman,1965/1/1,,,Best Picture,78th Academy Awards,Crash,2005,,https://www.imdb.com/name/nm0776072,https://en.wikipedia.org/wiki/Cathy_Schulman,nm0776072,tt0375679,https://www.imdb.com/title/tt0375679/,,1965,40
Michel Gondry,1963/5/8,Versailles,France,"Best Writing, Original Screenplay",77th Academy Awards,Eternal Sunshine of the Spotless Mind,2004,https://www.nndb.com/people/801/000029714,https://www.imdb.com/name/nm0327273,https://en.wikipedia.org/wiki/Michel_Gondry,nm0327273,tt0338013,https://www.imdb.com/title/tt0338013/,,1963,41
Tim Robbins,1958/10/16,West Covina,United States of America,Best Supporting Actor,76th Academy Awards,Mystic River,2004,https://www.nndb.com/people/614/000025539,https://www.imdb.com/name/nm0000209,https://en.wikipedia.org/wiki/Tim_Robbins,nm0000209,tt0327056,https://www.imdb.com/title/tt0327056/,,1958,46
Morgan Freeman,1937/6/1,Memphis,United States of America,Best Supporting Actor,77th Academy Awards,Million Dollar Baby,2004,https://www.nndb.com/people/982/000023913,https://www.imdb.com/name/nm0000151,https://en.wikipedia.org/wiki/Morgan_Freeman,nm0000151,tt0405159,https://www.imdb.com/title/tt0405159/,,1937,67
Hilary Swank,1974/7/30,Lincoln,United States of America,Best Actress,77th Academy Awards,Million Dollar Baby,2004,https://www.nndb.com/people/333/000026255,https://www.imdb.com/name/nm0005476,https://en.wikipedia.org/wiki/Hilary_Swank,nm0005476,tt0405159,https://www.imdb.com/title/tt0405159/,,1974,30
Thelma Schoonmaker,1940/1/3,Algeria,Algeria,Best Film Editing,77th Academy Awards,The Aviator,2004,,https://www.imdb.com/name/nm0774817,https://en.wikipedia.org/wiki/Thelma_Schoonmaker,nm0774817,tt0338751,https://www.imdb.com/title/tt0338751/,,1940,64
Adam Elliot,1972/1/2,Berwick,Australia,Best Animated Short Film,76th Academy Awards,Harvie Krumpet,2004,,https://www.imdb.com/name/nm0254178,https://en.wikipedia.org/wiki/Adam_Elliot,nm0254178,tt0382734,https://www.imdb.com/title/tt0382734/,,1972,32
Jan A. P. Kaczmarek,1953/4/29,Konin,Poland,Best Original Score,77th Academy Awards,Finding Neverland,2004,,https://www.imdb.com/name/nm0434222,https://en.wikipedia.org/wiki/Jan_A._P._Kaczmarek,nm0434222,tt0308644,https://www.imdb.com/title/tt0308644/,,1953,51
Howard Shore,1946/10/18,Toronto,Canada,Best Original Score,76th Academy Awards,The Lord of the Rings: The Return of the King,2003,,https://www.imdb.com/name/nm0006290,https://en.wikipedia.org/wiki/Howard_Shore,nm0006290,tt0167261,https://www.imdb.com/title/tt0167261/,,1946,57
Peter Jackson,1961/10/31,Wellington,New Zealand,Best Picture,76th Academy Awards,The Lord of the Rings: The Return of the King,2003,https://www.nndb.com/people/848/000025773,https://www.imdb.com/name/nm0001392,https://en.wikipedia.org/wiki/Peter_Jackson,nm0001392,tt0167261,https://www.imdb.com/title/tt0167261/,,1961,42
Peter Jackson,1961/10/31,Wellington,New Zealand,Best Director,76th Academy Awards,The Lord of the Rings: The Return of the King,2003,https://www.nndb.com/people/848/000025773,https://www.imdb.com/name/nm0001392,https://en.wikipedia.org/wiki/Peter_Jackson,nm0001392,tt0167261,https://www.imdb.com/title/tt0167261/,,1961,42
Alan Lee,1947/8/20,London,United Kingdom,Best Production Design,76th Academy Awards,The Lord of the Rings: The Return of the King,2003,,https://www.imdb.com/name/nm0496769,https://en.wikipedia.org/wiki/Alan_Lee_(illustrator),nm0496769,tt0167261,https://www.imdb.com/title/tt0167261/,,1947,56
Peter Jackson,1961/10/31,Wellington,New Zealand,"Best Writing, Adapted Screenplay",76th Academy Awards,The Lord of the Rings: The Return of the King,2003,https://www.nndb.com/people/848/000025773,https://www.imdb.com/name/nm0001392,https://en.wikipedia.org/wiki/Peter_Jackson,nm0001392,tt0167261,https://www.imdb.com/title/tt0167261/,,1961,42
Sean Penn,1960/8/17,Santa Monica,United States of America,Best Actor,76th Academy Awards,Mystic River,2003,https://www.nndb.com/people/331/000025256,https://www.imdb.com/name/nm0000576,https://en.wikipedia.org/wiki/Sean_Penn,nm0000576,tt0327056,https://www.imdb.com/title/tt0327056/,,1960,43
Adrien Brody,1973/4/14,Woodhaven,United States of America,Best Actor,75th Academy Awards,The Pianist,2002,https://www.nndb.com/people/112/000026034,https://www.imdb.com/name/nm0004778,https://en.wikipedia.org/wiki/Adrien_Brody,nm0004778,tt0254686,https://www.imdb.com/title/tt0254686/,,1973,29
Roman Polanski,1933/8/18,Paris,France,Best Director,75th Academy Awards,The Pianist,2002,https://www.nndb.com/people/541/000023472,https://www.imdb.com/name/nm0000591,https://en.wikipedia.org/wiki/Roman_Polanski,nm0000591,tt0254686,https://www.imdb.com/title/tt0254686/,,1933,69
Ron Howard,1954/3/1,Duncan,United States of America,Best Director,74th Academy Awards,A Beautiful Mind,2002,https://www.nndb.com/people/365/000025290,https://www.imdb.com/name/nm0000165,https://en.wikipedia.org/wiki/Ron_Howard,nm0000165,tt0268978,https://www.imdb.com/title/tt0268978/,,1954,48
Jennifer Connelly,1970/12/12,Cairo,United States of America,Best Supporting Actress,74th Academy Awards,A Beautiful Mind,2002,https://www.nndb.com/people/240/000026162,https://www.imdb.com/name/nm0000124,https://en.wikipedia.org/wiki/Jennifer_Connelly,nm0000124,tt0268978,https://www.imdb.com/title/tt0268978/,,1970,32
Hayao Miyazaki,1941/1/5,Bunky??-ku,Japan,Best Animated Feature,75th Academy Awards,Spirited Away,2002,https://www.nndb.com/people/940/000059763,https://www.imdb.com/name/nm0594503,https://en.wikipedia.org/wiki/Hayao_Miyazaki,nm0594503,tt0245429,https://www.imdb.com/title/tt0245429/,,1941,61
Hayao Miyazaki,1941/1/5,Tokyo,Japan,Best Animated Feature,75th Academy Awards,Spirited Away,2002,https://www.nndb.com/people/940/000059763,https://www.imdb.com/name/nm0594503,https://en.wikipedia.org/wiki/Hayao_Miyazaki,nm0594503,tt0245429,https://www.imdb.com/title/tt0245429/,,1941,61
Chris Cooper,1951/7/9,Kansas City,United States of America,Best Supporting Actor,75th Academy Awards,Adaptation,2002,https://www.nndb.com/people/130/000025055,https://www.imdb.com/name/nm0177933,https://en.wikipedia.org/wiki/Chris_Cooper,nm0177933,tt0268126,https://www.imdb.com/title/tt0268126/,,1951,51
Pedro Almod??var,1951/9/25,Calzada de Calatrava,Spain,"Best Writing, Original Screenplay",75th Academy Awards,Talk to Her,2002,https://www.nndb.com/people/145/000025070,https://www.imdb.com/name/nm0000264,https://en.wikipedia.org/wiki/Pedro_Almod%C3%B3var,nm0000264,tt0287467,https://www.imdb.com/title/tt0287467/,,1951,51
Pedro Almod??var,1949/9/25,Calzada de Calatrava,Spain,"Best Writing, Original Screenplay",75th Academy Awards,Talk to Her,2002,https://www.nndb.com/people/145/000025070,https://www.imdb.com/name/nm0000264,https://en.wikipedia.org/wiki/Pedro_Almod%C3%B3var,nm0000264,tt0287467,https://www.imdb.com/title/tt0287467/,,1949,53
Elliot Goldenthal,1954/5/2,Brooklyn,United States of America,Best Original Score,75th Academy Awards,Frida,2002,,https://www.imdb.com/name/nm0006106,https://en.wikipedia.org/wiki/Elliot_Goldenthal,nm0006106,tt1346270,https://www.imdb.com/title/tt1346270/,,1954,48
Nicole Kidman,1967/6/20,Honolulu,United States of America,Best Actress,75th Academy Awards,The Hours,2002,https://www.nndb.com/people/917/000022851,https://www.imdb.com/name/nm0000173,https://en.wikipedia.org/wiki/Nicole_Kidman,nm0000173,tt0274558,https://www.imdb.com/title/tt0274558/,,1967,35
Aron Warner,1961/3/25,Pasadena,United States of America,Best Animated Feature,74th Academy Awards,Shrek,2002,,https://www.imdb.com/name/nm0912403,https://en.wikipedia.org/wiki/Aron_Warner,nm0912403,tt0126029,https://www.imdb.com/title/tt0126029/,,1961,41
Colleen Atwood,1948/9/25,Yakima,United States of America,Best Costume Design,75th Academy Awards,Chicago,2002,https://www.nndb.com/people/928/000031835,https://www.imdb.com/name/nm0041181,https://en.wikipedia.org/wiki/Colleen_Atwood,nm0041181,tt0299658,https://www.imdb.com/title/tt0299658/,,1948,54
Julian Fellowes,1949/8/17,Cairo,Egypt,"Best Writing, Original Screenplay",74th Academy Awards,Gosford Park,2002,https://www.nndb.com/people/170/000348123,https://www.imdb.com/name/nm0271501,https://en.wikipedia.org/wiki/Julian_Fellowes,nm0271501,tt0280707,https://www.imdb.com/title/tt0280707/,,1949,53
Halle Berry,1966/8/14,Cleveland,United States of America,Best Actress,74th Academy Awards,Monster's Ball,2001,https://www.nndb.com/people/487/000023418,https://www.imdb.com/name/nm0000932,https://en.wikipedia.org/wiki/Halle_Berry,nm0000932,tt0285742,https://www.imdb.com/title/tt0285742/,,1966,35
Jim Broadbent,1949/5/24,Lincoln,United Kingdom,Best Supporting Actor,74th Academy Awards,Iris,2001,https://www.nndb.com/people/092/000063900,https://www.imdb.com/name/nm0000980,https://en.wikipedia.org/wiki/Jim_Broadbent,nm0000980,tt0269372,https://www.imdb.com/title/tt0269372/,,1949,52
Ron Howard,1954/3/1,Duncan,United States of America,Best Picture,74th Academy Awards,A Beautiful Mind,2001,https://www.nndb.com/people/365/000025290,https://www.imdb.com/name/nm0000165,https://en.wikipedia.org/wiki/Ron_Howard,nm0000165,tt0268978,https://www.imdb.com/title/tt0268978/,,1954,47
Julia Roberts,1967/10/28,Smyrna,United States of America,Best Actress,73rd Academy Awards,Erin Brockovich,2001,https://www.nndb.com/people/592/000022526,https://www.imdb.com/name/nm0000210,https://en.wikipedia.org/wiki/Julia_Roberts,nm0000210,tt0195685,https://www.imdb.com/title/tt0195685/,,1967,34
Howard Shore,1946/10/18,Toronto,Canada,Best Original Score,74th Academy Awards,The Lord of the Rings: The Fellowship of the Ring,2001,,https://www.imdb.com/name/nm0006290,https://en.wikipedia.org/wiki/Howard_Shore,nm0006290,tt0120737,https://www.imdb.com/title/tt0120737/,,1946,55
Benicio del Toro,1967/2/19,San Germ??n,United States of America,Best Supporting Actor,73rd Academy Awards,Traffic,2000,https://www.nndb.com/people/087/000026009,https://www.imdb.com/name/nm0001125,https://en.wikipedia.org/wiki/Benicio_del_Toro,nm0001125,tt0188674,https://www.imdb.com/title/tt0188674/,,1967,33
Steven Soderbergh,1963/1/14,Atlanta,United States of America,Best Director,73rd Academy Awards,Traffic,2000,https://www.nndb.com/people/907/000025832,https://www.imdb.com/name/nm0001752,https://en.wikipedia.org/wiki/Steven_Soderbergh,nm0001752,tt0188674,https://www.imdb.com/title/tt0188674/,,1963,37
James Coburn,1928/8/31,Laurel,United States of America,Best Supporting Actor,71st Academy Awards,Affliction,1999,https://www.nndb.com/people/764/000022698,https://www.imdb.com/name/nm0000336,https://en.wikipedia.org/wiki/James_Coburn,nm0000336,tt0118564,https://www.imdb.com/title/tt0118564/,,1928,71
Hilary Swank,1974/7/30,Lincoln,United States of America,Best Actress,72nd Academy Awards,Boys Don't Cry,1999,https://www.nndb.com/people/333/000026255,https://www.imdb.com/name/nm0005476,https://en.wikipedia.org/wiki/Hilary_Swank,nm0005476,tt0171804,https://www.imdb.com/title/tt0171804/,,1974,25
Michael Kahn,1935/12/8,New York City,United States of America,Best Film Editing,71st Academy Awards,Saving Private Ryan,1999,,https://www.imdb.com/name/nm0434883,https://en.wikipedia.org/wiki/Michael_Kahn_(film_editor),nm0434883,tt0120815,https://www.imdb.com/title/tt0120815/,,1935,64
Michael Caine,1933/3/14,Rotherhithe,United Kingdom,Best Supporting Actor,72nd Academy Awards,The Cider House Rules,1999,https://www.nndb.com/people/754/000022688,https://www.imdb.com/name/nm0000323,https://en.wikipedia.org/wiki/Michael_Caine,nm0000323,tt0124315,https://www.imdb.com/title/tt0124315/,,1933,66
Jack Nicholson,1937/4/22,Neptune City,United States of America,Best Actor,70th Academy Awards,As Good as It Gets,1998,https://www.nndb.com/people/722/000022656,https://www.imdb.com/name/nm0000197,https://en.wikipedia.org/wiki/Jack_Nicholson,nm0000197,tt0119822,https://www.imdb.com/title/tt0119822/,,1937,61
Janusz Kami??ski,1959/6/27,Zi??bice,Poland,Best Cinematography,71st Academy Awards,Saving Private Ryan,1998,,https://www.imdb.com/name/nm0001405,https://en.wikipedia.org/wiki/Janusz_Kami%C5%84ski,nm0001405,tt0120815,https://www.imdb.com/title/tt0120815/,,1959,39
Steven Spielberg,1946/12/18,Cincinnati,United States of America,Best Director,71st Academy Awards,Saving Private Ryan,1998,https://www.nndb.com/people/734/000022668,https://www.imdb.com/name/nm0000229,https://en.wikipedia.org/wiki/Steven_Spielberg,nm0000229,tt0120815,https://www.imdb.com/title/tt0120815/,,1946,52
James Cameron,1954/8/16,Kapuskasing,Canada,Best Director,70th Academy Awards,Titanic,1998,https://www.nndb.com/people/385/000025310,https://www.imdb.com/name/nm0000116,https://en.wikipedia.org/wiki/James_Cameron,nm0000116,tt0120338,https://www.imdb.com/title/tt0120338/,,1954,44
Kim Basinger,1953/12/8,Athens,United States of America,Best Supporting Actress,70th Academy Awards,L.A. Confidential,1998,https://www.nndb.com/people/310/000025235,https://www.imdb.com/name/nm0000107,https://en.wikipedia.org/wiki/Kim_Basinger,nm0000107,tt0119488,https://www.imdb.com/title/tt0119488/,,1953,45
Ben Affleck,1972/8/15,Berkeley,United States of America,"Best Writing, Original Screenplay",70th Academy Awards,mente indomable,1998,https://www.nndb.com/people/715/000022649,https://www.imdb.com/name/nm0000255,https://en.wikipedia.org/wiki/Ben_Affleck,nm0000255,tt0119217,https://www.imdb.com/title/tt0119217/,,1972,26
Robin Williams,1951/7/21,Chicago,United States of America,Best Supporting Actor,70th Academy Awards,mente indomable,1997,https://www.nndb.com/people/606/000022540,https://www.imdb.com/name/nm0000245,https://en.wikipedia.org/wiki/Robin_Williams,nm0000245,tt0119217,https://www.imdb.com/title/tt0119217/,,1951,46
Jon Landau,1960/7/23,New York City,United States of America,Best Picture,70th Academy Awards,Titanic,1997,,https://www.imdb.com/name/nm0484457,https://en.wikipedia.org/wiki/Jon_Landau_(film_producer),nm0484457,tt0115392,https://www.imdb.com/title/tt0115392/,,1960,37
Anne Dudley,1956/5/7,Chatham,United Kingdom,Best Original Musical or Comedy Score,70th Academy Awards,The Full Monty,1997,https://www.nndb.com/people/551/000042425,https://www.imdb.com/name/nm0006050,https://en.wikipedia.org/wiki/Anne_Dudley,nm0006050,tt0119164,https://www.imdb.com/title/tt0119164/,,1956,41
Tyron Montgomery,1967/4/9,Germany,Germany,Best Animated Short Film,69th Academy Awards,Quest,1996,,https://www.imdb.com/name/nm0599946,,nm0599946,tt0114533,https://www.imdb.com/title/tt0114533/,,1967,29
Tyron Montgomery,1967/4/9,Germany,Germany,Best Animated Short Film,69th Academy Awards,Quest,1996,,https://www.imdb.com/name/nm0599946,,nm0599946,tt0117420,https://www.imdb.com/title/tt0117420/,,1967,29
Tyron Montgomery,1967/4/9,Ireland,Ireland,Best Animated Short Film,69th Academy Awards,Quest,1996,,https://www.imdb.com/name/nm0599946,,nm0599946,tt0114533,https://www.imdb.com/title/tt0114533/,,1967,29
Tyron Montgomery,1967/4/9,Ireland,Ireland,Best Animated Short Film,69th Academy Awards,Quest,1996,,https://www.imdb.com/name/nm0599946,,nm0599946,tt0117420,https://www.imdb.com/title/tt0117420/,,1967,29
Tyron Montgomery,1967/4/29,Germany,Germany,Best Animated Short Film,69th Academy Awards,Quest,1996,,https://www.imdb.com/name/nm0599946,,nm0599946,tt0114533,https://www.imdb.com/title/tt0114533/,,1967,29
Tyron Montgomery,1967/4/29,Germany,Germany,Best Animated Short Film,69th Academy Awards,Quest,1996,,https://www.imdb.com/name/nm0599946,,nm0599946,tt0117420,https://www.imdb.com/title/tt0117420/,,1967,29
Tyron Montgomery,1967/4/29,Ireland,Ireland,Best Animated Short Film,69th Academy Awards,Quest,1996,,https://www.imdb.com/name/nm0599946,,nm0599946,tt0114533,https://www.imdb.com/title/tt0114533/,,1967,29
Tyron Montgomery,1967/4/29,Ireland,Ireland,Best Animated Short Film,69th Academy Awards,Quest,1996,,https://www.imdb.com/name/nm0599946,,nm0599946,tt0117420,https://www.imdb.com/title/tt0117420/,,1967,29
Chris Newman,1940/2/17,New York City,United States of America,Best Sound Mixing,69th Academy Awards,The English Patient,1996,,https://www.imdb.com/name/nm0628039,https://en.wikipedia.org/wiki/Chris_Newman_(sound_engineer),nm0628039,tt0116209,https://www.imdb.com/title/tt0116209/,,1940,56
Walter Murch,1943/7/12,New York City,United States of America,Best Film Editing,69th Academy Awards,The English Patient,1996,,https://www.imdb.com/name/nm0004555,https://en.wikipedia.org/wiki/Walter_Murch,nm0004555,tt0116209,https://www.imdb.com/title/tt0116209/,,1943,53
Walter Murch,1943/7/12,New York City,United States of America,Best Sound Mixing,69th Academy Awards,The English Patient,1996,,https://www.imdb.com/name/nm0004555,https://en.wikipedia.org/wiki/Walter_Murch,nm0004555,tt0116209,https://www.imdb.com/title/tt0116209/,,1943,53
Juliette Binoche,1964/3/9,Paris,France,Best Supporting Actress,69th Academy Awards,The English Patient,1996,https://www.nndb.com/people/970/000025895,https://www.imdb.com/name/nm0000300,https://en.wikipedia.org/wiki/Juliette_Binoche,nm0000300,tt0116209,https://www.imdb.com/title/tt0116209/,,1964,32
Gabriel Yared,1949/10/7,Beirut,Lebanon,Best Original Dramatic Score,69th Academy Awards,The English Patient,1996,,https://www.imdb.com/name/nm0001189,https://en.wikipedia.org/wiki/Gabriel_Yared,nm0001189,tt0116209,https://www.imdb.com/title/tt0116209/,,1949,47
Nicolas Cage,1964/1/7,Long Beach,United States of America,Best Actor,68th Academy Awards,Leaving Las Vegas,1996,https://www.nndb.com/people/751/000022685,https://www.imdb.com/name/nm0000115,https://en.wikipedia.org/wiki/Nicolas_Cage,nm0000115,tt0113627,https://www.imdb.com/title/tt0113627/,,1964,32
Cuba Gooding Jr.,1968/1/2,New York City,United States of America,Best Supporting Actor,69th Academy Awards,Jerry Maguire,1996,https://www.nndb.com/people/587/000023518,https://www.imdb.com/name/nm0000421,https://en.wikipedia.org/wiki/Cuba_Gooding_Jr.,nm0000421,tt0116695,https://www.imdb.com/title/tt0116695/,,1968,28
Frances McDormand,1957/6/23,Gibson City,United States of America,Best Actress,69th Academy Awards,Fargo,1996,https://www.nndb.com/people/517/000025442,https://www.imdb.com/name/nm0000531,https://en.wikipedia.org/wiki/Frances_McDormand,nm0000531,tt0116282,https://www.imdb.com/title/tt0116282/,,1957,39
Mel Gibson,1956/1/3,Peekskill,United States of America,Best Director,68th Academy Awards,Braveheart,1995,https://www.nndb.com/people/583/000022517,https://www.imdb.com/name/nm0000154,https://en.wikipedia.org/wiki/Mel_Gibson,nm0000154,tt0112573,https://www.imdb.com/title/tt0112573/,,1956,39
Mel Gibson,1956/1/3,Peekskill,United States of America,Best Picture,68th Academy Awards,Braveheart,1995,https://www.nndb.com/people/583/000022517,https://www.imdb.com/name/nm0000154,https://en.wikipedia.org/wiki/Mel_Gibson,nm0000154,tt0112573,https://www.imdb.com/title/tt0112573/,,1956,39
Peter Capaldi,1958/4/14,Glasgow,United Kingdom,Best Live Action Short Film,67th Academy Awards,Franz Kafka's It's a Wonderful Life,1995,https://www.nndb.com/people/433/000216782,https://www.imdb.com/name/nm0134922,https://en.wikipedia.org/wiki/Peter_Capaldi,nm0134922,tt0106961,https://www.imdb.com/title/tt0106961/,,1958,37
Kevin Spacey,1959/7/26,South Orange,United States of America,Best Supporting Actor,68th Academy Awards,The Usual Suspects,1995,https://www.nndb.com/people/591/000023522,https://www.imdb.com/name/nm0000228,https://en.wikipedia.org/wiki/Kevin_Spacey,nm0000228,tt0114814,https://www.imdb.com/title/tt0114814/,,1959,36
Tom Hanks,1956/7/9,Concord,United States of America,Best Actor,67th Academy Awards,Forrest Gump,1995,https://www.nndb.com/people/687/000022621,https://www.imdb.com/name/nm0000158,https://en.wikipedia.org/wiki/Tom_Hanks,nm0000158,tt0109830,https://www.imdb.com/title/tt0109830/,,1956,39
Ken Ralston,1954/1/1,,,Best Visual Effects,67th Academy Awards,Forrest Gump,1995,,https://www.imdb.com/name/nm0707822,https://en.wikipedia.org/wiki/Ken_Ralston,nm0707822,tt0109830,https://www.imdb.com/title/tt0109830/,,1954,41
Lizzy Gardiner,1966/10/24,Dubbo,Australia,Best Costume Design,67th Academy Awards,"The Adventures of Priscilla, Queen of the Desert",1995,,https://www.imdb.com/name/nm0306773,https://en.wikipedia.org/wiki/Lizzy_Gardiner,nm0306773,tt0109045,https://www.imdb.com/title/tt0109045/,,1966,29
Carolyn Scott,2000/1/1,,,Best Production Design,67th Academy Awards,The Madness of King George,1994,,https://www.imdb.com/name/nm0778942,https://en.wikipedia.org/wiki/Carolyn_Scott,nm0778942,tt0110428,https://www.imdb.com/title/tt0110428/,,2000,-6
Charles Guggenheim,1924/3/31,Cincinnati,United States of America,Best Documentary (Short Subject),67th Academy Awards,A Time for Justice,1994,,https://www.imdb.com/name/nm0346549,https://en.wikipedia.org/wiki/Charles_Guggenheim,nm0346549,tt0111436,https://www.imdb.com/title/tt0111436/,,1924,70
Quentin Tarantino,1963/3/27,Knoxville,United States of America,"Best Writing, Original Screenplay",67th Academy Awards,Pulp Fiction,1994,https://www.nndb.com/people/664/000023595,https://www.imdb.com/name/nm0000233,https://en.wikipedia.org/wiki/Quentin_Tarantino,nm0000233,tt0110912,https://www.imdb.com/title/tt0110912/,,1963,31
Martin Landau,1928/6/20,Brooklyn,United States of America,Best Supporting Actor,67th Academy Awards,Ed Wood,1994,https://www.nndb.com/people/431/000023362,https://www.imdb.com/name/nm0001445,https://en.wikipedia.org/wiki/Martin_Landau,nm0001445,tt0109707,https://www.imdb.com/title/tt0109707/,,1928,66
Tom Hanks,1956/7/9,Concord,United States of America,Best Actor,66th Academy Awards,Philadelphia,1994,https://www.nndb.com/people/687/000022621,https://www.imdb.com/name/nm0000158,https://en.wikipedia.org/wiki/Tom_Hanks,nm0000158,tt0107818,https://www.imdb.com/title/tt0107818/,,1956,38
Dianne Wiest,1948/3/28,Kansas City,United States of America,Best Supporting Actress,67th Academy Awards,Bullets Over Broadway,1994,https://www.nndb.com/people/894/000024822,https://www.imdb.com/name/nm0001848,https://en.wikipedia.org/wiki/Dianne_Wiest,nm0001848,tt0109348,https://www.imdb.com/title/tt0109348/,,1948,46
Jessica Lange,1949/4/20,Cloquet,United States of America,Best Actress,67th Academy Awards,Blue Sky,1994,https://www.nndb.com/people/004/000022935,https://www.imdb.com/name/nm0001448,https://en.wikipedia.org/wiki/Jessica_Lange,nm0001448,tt0109306,https://www.imdb.com/title/tt0109306/,,1949,45
Michael Kahn,1935/12/8,New York City,United States of America,Best Film Editing,66th Academy Awards,Schindler's List,1994,,https://www.imdb.com/name/nm0434883,https://en.wikipedia.org/wiki/Michael_Kahn_(film_editor),nm0434883,tt0108052,https://www.imdb.com/title/tt0108052/,,1935,59
Ruth Prawer Jhabvala,1927/5/7,Cologne,Germany,"Best Writing, Adapted Screenplay",65th Academy Awards,Howards End,1993,https://www.nndb.com/people/247/000104932,https://www.imdb.com/name/nm0695609,https://en.wikipedia.org/wiki/Ruth_Prawer_Jhabvala,nm0695609,tt0104454,https://www.imdb.com/title/tt0104454/,,1927,66
Ken Ralston,1954/1/1,,,Best Visual Effects,65th Academy Awards,Death Becomes Her,1993,,https://www.imdb.com/name/nm0707822,https://en.wikipedia.org/wiki/Ken_Ralston,nm0707822,tt0104070,https://www.imdb.com/title/tt0104070/,,1954,39
Tommy Lee Jones,1946/9/15,San Saba,United States of America,Best Supporting Actor,66th Academy Awards,The Fugitive,1993,https://www.nndb.com/people/530/000022464,https://www.imdb.com/name/nm0000169,https://en.wikipedia.org/wiki/Tommy_Lee_Jones,nm0000169,tt0106977,https://www.imdb.com/title/tt0106977/,,1946,47
Al Pacino,1940/4/25,Manhattan,United States of America,Best Actor,65th Academy Awards,Scent of a Woman,1993,https://www.nndb.com/people/880/000022814,https://www.imdb.com/name/nm0000199,https://en.wikipedia.org/wiki/Al_Pacino,nm0000199,tt0105323,https://www.imdb.com/title/tt0105323/,,1940,53
Steven Spielberg,1946/12/18,Cincinnati,United States of America,Best Picture,66th Academy Awards,Schindler's List,1993,https://www.nndb.com/people/734/000022668,https://www.imdb.com/name/nm0000229,https://en.wikipedia.org/wiki/Steven_Spielberg,nm0000229,tt0108052,https://www.imdb.com/title/tt0108052/,,1946,47
Steven Spielberg,1946/12/18,Cincinnati,United States of America,Best Director,66th Academy Awards,Schindler's List,1993,https://www.nndb.com/people/734/000022668,https://www.imdb.com/name/nm0000229,https://en.wikipedia.org/wiki/Steven_Spielberg,nm0000229,tt0108052,https://www.imdb.com/title/tt0108052/,,1946,47
Eiko Ishioka,1938/7/12,Tokyo,Japan,Best Costume Design,65th Academy Awards,Bram Stoker's Dracula,1993,,https://www.imdb.com/name/nm0411130,https://en.wikipedia.org/wiki/Eiko_Ishioka,nm0411130,tt0103874,https://www.imdb.com/title/tt0103874/,,1938,55
Holly Hunter,1958/3/20,Conyers,United States of America,Best Actress,66th Academy Awards,The Piano,1993,https://www.nndb.com/people/566/000023497,https://www.imdb.com/name/nm0000456,https://en.wikipedia.org/wiki/Holly_Hunter,nm0000456,tt0107822,https://www.imdb.com/title/tt0107822/,,1958,35
Gene Hackman,1930/1/30,San Bernardino,United States of America,Best Supporting Actor,65th Academy Awards,Unforgiven,1992,https://www.nndb.com/people/878/000022812,https://www.imdb.com/name/nm0000432,https://en.wikipedia.org/wiki/Gene_Hackman,nm0000432,tt0105695,https://www.imdb.com/title/tt0105695/,,1930,62
Marisa Tomei,1964/12/4,Brooklyn,United States of America,Best Supporting Actress,65th Academy Awards,My Cousin Vinny,1992,https://www.nndb.com/people/985/000025910,https://www.imdb.com/name/nm0000673,https://en.wikipedia.org/wiki/Marisa_Tomei,nm0000673,tt0104952,https://www.imdb.com/title/tt0104952/,,1964,28
Jonathan Demme,1944/2/22,Baldwin,United States of America,Best Director,64th Academy Awards,The Silence of the Lambs,1991,https://www.nndb.com/people/578/000024506,https://www.imdb.com/name/nm0001129,https://en.wikipedia.org/wiki/Jonathan_Demme,nm0001129,tt0102926,https://www.imdb.com/title/tt0102926/,,1944,47
Jodie Foster,1962/11/19,Los Angeles,United States of America,Best Actress,64th Academy Awards,The Silence of the Lambs,1991,https://www.nndb.com/people/756/000023687,https://www.imdb.com/name/nm0000149,https://en.wikipedia.org/wiki/Jodie_Foster,nm0000149,tt0102926,https://www.imdb.com/title/tt0102926/,,1962,29
Arthur Cohn,1927/2/4,Basel,Switzerland,Best Documentary Feature,63rd Academy Awards,American Dream,1991,,https://www.imdb.com/name/nm0004453,https://en.wikipedia.org/wiki/Arthur_Cohn,nm0004453,tt0099028,https://www.imdb.com/title/tt0099028/,,1927,64
Jack Palance,1919/2/18,Hazleton,United States of America,Best Supporting Actor,64th Academy Awards,City Slickers,1991,https://www.nndb.com/people/579/000022513,https://www.imdb.com/name/nm0001588,https://en.wikipedia.org/wiki/Jack_Palance,nm0001588,tt0101587,https://www.imdb.com/title/tt0101587/,,1919,72
