,budget,genre,id,imdb_id,overview,original_title,popularity,revenue,release_date,title,year,is_winner
565,15000000,Romance,74643,tt1655442,"Hollywood, 1927: As silent movie star George Valentin wonders if the arrival of talking pictures will cause him to fade into oblivion, he sparks with Peppy Miller, a young dancer set for a big break.",The Artist,11.440948,133432856,5/15/2011,The Artist,2011,TRUE
646,15000000,Drama,45269,tt1504320,"The King's Speech tells the story of the man who became King George VI, the father of Queen Elizabeth II. After his brother abdicates, George ('Bertie') reluctantly assumes the throne. Plagued by a dreaded stutter and considered unfit to be king, Bertie engages the help of an unorthodox speech therapist named Lionel Logue. Through a set of unexpected techniques, and as a result of an unlikely friendship, Bertie is able to find his voice and boldly lead the country into war.",The King's Speech,11.260387,414211549,9/6/2010,The King's Speech,2010,TRUE
647,15000000,History,45269,tt1504320,"The King's Speech tells the story of the man who became King George VI, the father of Queen Elizabeth II. After his brother abdicates, George ('Bertie') reluctantly assumes the throne. Plagued by a dreaded stutter and considered unfit to be king, Bertie engages the help of an unorthodox speech therapist named Lionel Logue. Through a set of unexpected techniques, and as a result of an unlikely friendship, Bertie is able to find his voice and boldly lead the country into war.",The King's Speech,11.260387,414211549,9/6/2010,The King's Speech,2010,TRUE
632,15000000,Drama,12162,tt0887912,"Forced to play a dangerous game of cat-and-mouse in the chaos of war, an elite Army bomb squad unit must come together in a city where everyone is a potential enemy and every object could be a deadly bomb.",The Hurt Locker,9.403724,4.20E+07,10/10/2008,The Hurt Locker,2009,TRUE
633,15000000,Thriller,12162,tt0887912,"Forced to play a dangerous game of cat-and-mouse in the chaos of war, an elite Army bomb squad unit must come together in a city where everyone is a potential enemy and every object could be a deadly bomb.",The Hurt Locker,9.403724,4.20E+07,10/10/2008,The Hurt Locker,2009,TRUE
634,15000000,War,12162,tt0887912,"Forced to play a dangerous game of cat-and-mouse in the chaos of war, an elite Army bomb squad unit must come together in a city where everyone is a potential enemy and every object could be a deadly bomb.",The Hurt Locker,9.403724,4.20E+07,10/10/2008,The Hurt Locker,2009,TRUE
543,15000000,Drama,12405,tt1010048,"Jamal Malik is an impoverished Indian teen who becomes a contestant on the Hindi version of ?€?Who Wants to Be a Millionaire??€? but, after he wins, he is suspected of cheating.",Slumdog Millionaire,11.258181,377910544,5/12/2008,Slumdog Millionaire,2008,TRUE
544,15000000,Romance,12405,tt1010048,"Jamal Malik is an impoverished Indian teen who becomes a contestant on the Hindi version of ?€?Who Wants to Be a Millionaire??€? but, after he wins, he is suspected of cheating.",Slumdog Millionaire,11.258181,377910544,5/12/2008,Slumdog Millionaire,2008,TRUE
471,25000000,Crime,6977,tt0477348,"Llewelyn Moss stumbles upon dead bodies, $2 million and a hoard of heroin in a Texas desert, but methodical killer Anton Chigurh comes looking for it, with local sheriff Ed Tom Bell hot on his trail. The roles of prey and predator blur as the violent pursuit of money and justice collide.",No Country for Old Men,15.565484,171600000,11/8/2007,No Country for Old Men,2007,TRUE
472,25000000,Drama,6977,tt0477348,"Llewelyn Moss stumbles upon dead bodies, $2 million and a hoard of heroin in a Texas desert, but methodical killer Anton Chigurh comes looking for it, with local sheriff Ed Tom Bell hot on his trail. The roles of prey and predator blur as the violent pursuit of money and justice collide.",No Country for Old Men,15.565484,171600000,11/8/2007,No Country for Old Men,2007,TRUE
473,25000000,Thriller,6977,tt0477348,"Llewelyn Moss stumbles upon dead bodies, $2 million and a hoard of heroin in a Texas desert, but methodical killer Anton Chigurh comes looking for it, with local sheriff Ed Tom Bell hot on his trail. The roles of prey and predator blur as the violent pursuit of money and justice collide.",No Country for Old Men,15.565484,171600000,11/8/2007,No Country for Old Men,2007,TRUE
588,90000000,Drama,1422,tt0407887,"To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.",The Departed,18.515448,289847354,10/5/2006,The Departed,2006,TRUE
589,90000000,Thriller,1422,tt0407887,"To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.",The Departed,18.515448,289847354,10/5/2006,The Departed,2006,TRUE
590,90000000,Crime,1422,tt0407887,"To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.",The Departed,18.515448,289847354,10/5/2006,The Departed,2006,TRUE
187,6500000,Drama,1640,tt0375679,"Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption.",Crash,9.785147,98410061,1/13/2004,Crash,2005,TRUE
430,30000000,Drama,70,tt0405159,"Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her.",Million Dollar Baby,14.471373,216763646,12/15/2004,Million Dollar Baby,2004,TRUE
