oscar_num,year,producer,is_winner,movie title
35,1962,"Sam Spiegel, Producer",TRUE,Lawrence of Arabia
35,1962,"Darryl F. Zanuck, Producer",FALSE,The Longest Day
35,1962,"Morton Da Costa, Producer",FALSE,Meredith Willson's The Music Man
35,1962,"Aaron Rosenberg, Producer",FALSE,Mutiny on the Bounty
35,1962,"Alan J. Pakula, Producer",FALSE,To Kill a Mockingbird
36,1963,"Elia Kazan, Producer",FALSE,America America
36,1963,"Walter Wanger, Producer",FALSE,Cleopatra
36,1963,"Bernard Smith, Producer",FALSE,How the West Was Won
36,1963,"Ralph Nelson, Producer",FALSE,Lilies of the Field
36,1963,"Tony Richardson, Producer",TRUE,Tom Jones
37,1964,"Hal B. Wallis, Producer",FALSE,Becket
37,1964,"Stanley Kubrick, Producer",FALSE,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
37,1964,"Walt Disney and Bill Walsh, Producers",FALSE,Mary Poppins
37,1964,"Jack L. Warner, Producer",TRUE,My Fair Lady
37,1964,"Michael Cacoyannis, Producer",FALSE,Zorba the Greek
38,1965,"Joseph Janni, Producer",FALSE,Darling
38,1965,"Carlo Ponti, Producer",FALSE,Doctor Zhivago
38,1965,"Stanley Kramer, Producer",FALSE,Ship of Fools
38,1965,"Robert Wise, Producer",TRUE,The Sound of Music
38,1965,"Fred Coe, Producer",FALSE,A Thousand Clowns
39,1966,"Lewis Gilbert, Producer",FALSE,Alfie
39,1966,"Fred Zinnemann, Producer",TRUE,A Man for All Seasons
39,1966,"Norman Jewison, Producer",FALSE,The Russians Are Coming The Russians Are Coming
39,1966,"Robert Wise, Producer",FALSE,The Sand Pebbles
39,1966,"Ernest Lehman, Producer",FALSE,Who's Afraid of Virginia Woolf?
40,1967,"Warren Beatty, Producer",FALSE,Bonnie and Clyde
40,1967,"Arthur P. Jacobs, Producer",FALSE,Doctor Dolittle
40,1967,"Lawrence Turman, Producer",FALSE,The Graduate
40,1967,"Stanley Kramer, Producer",FALSE,Guess Who's Coming to Dinner
40,1967,"Walter Mirisch, Producer",TRUE,In the Heat of the Night
41,1968,"Ray Stark, Producer",FALSE,Funny Girl
41,1968,"Martin Poll, Producer",FALSE,The Lion in Winter
41,1968,"John Woolf, Producer",TRUE,Oliver!
41,1968,"Paul Newman, Producer",FALSE,"Rachel, Rachel"
41,1968,"Anthony Havelock-Allan and John Brabourne, Producers",FALSE,Romeo and Juliet
42,1969,"Hal B. Wallis, Producer",FALSE,Anne of the Thousand Days
42,1969,"John Foreman, Producer",FALSE,Butch Cassidy and the Sundance Kid
42,1969,"Ernest Lehman, Producer",FALSE,"Hello, Dolly!"
42,1969,"Jerome Hellman, Producer",TRUE,Midnight Cowboy
42,1969,"Jacques Perrin and Hamed Rachedi, Producers",FALSE,Z
43,1970,"Ross Hunter, Producer",FALSE,Airport
43,1970,"Bob Rafelson and Richard Wechsler, Producers",FALSE,Five Easy Pieces
43,1970,"Howard G. Minsky, Producer",FALSE,Love Story
43,1970,"Ingo Preminger, Producer",FALSE,M*A*S*H
43,1970,"Frank McCarthy, Producer",TRUE,Patton
44,1971,"Stanley Kubrick, Producer",FALSE,A Clockwork Orange
44,1971,"Norman Jewison, Producer",FALSE,Fiddler on the Roof
44,1971,"Philip D'Antoni, Producer",TRUE,The French Connection
