,Name,Movie,Edition,Year of award,Award,Win?
102,May Robson,Lady for a Day,6,1933,LeadingActress,False
103,Diana Wynyard,Cavalcade,6,1933,LeadingActress,False
104,"Charles Bryant Lang, Jr.",A Farewell to Arms,6,1933,Cinematography,True
105,George J. Folsey,Reunion in Vienna,6,1933,Cinematography,False
106,Karl Struss,The Sign of the Cross,6,1933,Cinematography,False
107,Frank Lloyd,Cavalcade,6,1933,Director,True
108,Frank Capra,Lady for a Day,6,1933,Director,False
109,George Cukor,Little Women,6,1933,Director,False
110,Clark Gable,It Happened One Night,7,1935,LeadingActor,True
111,Frank Morgan,The Affairs of Cellini,7,1935,LeadingActor,False
112,William Powell,The Thin Man,7,1935,LeadingActor,False
113,Claudette Colbert,It Happened One Night,7,1935,LeadingActress,True
114,Bette Davis,Of Human Bondage,7,1935,LeadingActress,True
115,Grace Moore,One Night of Love,7,1935,LeadingActress,False
116,Norma Shearer,The Barretts of Wimpole Street,7,1935,LeadingActress,False
117,Charles Rosher,The Affairs of Cellini,7,1935,Cinematography,False
118,Victor Milner,Cleopatra,7,1935,Cinematography,True
119,George Folsey,Operator 13,7,1935,Cinematography,False
120,Frank Capra,It Happened One Night,7,1935,Director,True
121,Victor Schertzinger,One Night of Love,7,1935,Director,False
122,W. S. Van Dyke,The Thin Man,7,1935,Director,False
123,Clark Gable,Mutiny on the Bounty,8,1936,LeadingActor,False
124,Charles Laughton,Mutiny on the Bounty,8,1936,LeadingActor,False
125,Victor McLaglen,The Informer,8,1936,LeadingActor,True
126,Paul Muni,Black Fury,8,1936,LeadingActor,True
127,Franchot Tone,Mutiny on the Bounty,8,1936,LeadingActor,False
128,Elisabeth Bergner,Escape Me Never,8,1936,LeadingActress,False
129,Claudette Colbert,Private Worlds,8,1936,LeadingActress,False
130,Bette Davis,Dangerous,8,1936,LeadingActress,True
131,Katharine Hepburn,Alice Adams,8,1936,LeadingActress,False
132,Miriam Hopkins,Becky Sharp,8,1936,LeadingActress,False
133,Merle Oberon,The Dark Angel,8,1936,LeadingActress,False
134,Ray June,Barbary Coast,8,1936,Cinematography,False
135,Victor Milner,The Crusades,8,1936,Cinematography,False
136,Gregg Toland,Les Miserables,8,1936,Cinematography,False
137,Hal Mohr,A Midsummer Night's Dream,8,1936,Cinematography,False
138,Michael Curtiz,Captain Blood,8,1936,Director,True
139,John Ford,The Informer,8,1936,Director,True
140,Henry Hathaway,The Lives of a Bengal Lancer,8,1936,Director,False
141,Frank Lloyd,Mutiny on the Bounty,8,1936,Director,False
142,Gary Cooper,Mr. Deeds Goes to Town,9,1937,LeadingActor,False
143,Walter Huston,Dodsworth,9,1937,LeadingActor,False
144,Paul Muni,The Story of Louis Pasteur,9,1937,LeadingActor,True
145,William Powell,My Man Godfrey,9,1937,LeadingActor,False
