	Name	Movie	Year of award	bioID	year_awarded	movieID
51	Greta Garbo	Anna Christie	1930	https://www.imdb.com/name/nm0001256/	1930	https://www.imdb.com/title/tt0020641/
52	Greta Garbo	Romance	1930	https://www.imdb.com/name/nm0001256/	1930	https://www.imdb.com/title/tt0019711/
53	Norma Shearer	Their Own Desire	1930	https://www.imdb.com/name/nm0790454/	1930	https://www.imdb.com/title/tt0020488/
54	Gloria Swanson	The Trespasser	1930	https://www.imdb.com/name/nm0841797/	1930	https://www.imdb.com/title/tt0020514/
55	(Arthur Edeson)	All Quiet on the Western Front	1930	https://www.imdb.com/name/nm0249186/	1930	https://www.imdb.com/title/tt0020629/
56	(William Daniels)	Anna Christie	1930	https://www.imdb.com/name/nm0200122/	1930	https://www.imdb.com/title/tt0020641/
57	(Gaetano Gaudio), (Harry Perry)	Hell's Angels	1930	https://www.imdb.com/title/tt0020960/awards	1930	https://www.imdb.com/title/tt0020960/
58	(Victor Milner)	The Love Parade	1930	https://www.imdb.com/name/nm0005800/	1930	https://www.imdb.com/title/tt0020112/
59	Joseph T. Rucker, Willard Van Der Veer	With Byrd at the South Pole	1930	https://www.imdb.com/name/nm0748530/awards	1930	https://www.imdb.com/title/tt0020594/
60	Clarence Brown	Anna Christie;	1930	https://www.imdb.com/name/nm0113284/	1930	https://www.imdb.com/title/tt0020641/
61	Clarence Brown	Romance	1930	https://www.imdb.com/name/nm0113284/	1930	https://www.imdb.com/title/tt0019711/
62	Robert Leonard	The Divorcee	1930	https://www.imdb.com/name/nm0000494/	1930	https://www.imdb.com/title/tt0020827/
63	Ernst Lubitsch	The Love Parade	1930	https://www.imdb.com/name/nm0523932/	1930	https://www.imdb.com/title/tt0020112/
64	Lewis Milestone	All Quiet on the Western Front	1930	https://www.imdb.com/name/nm0587277/	1930	https://www.imdb.com/title/tt0020629/
65	King Vidor	Hallelujah	1930	https://www.imdb.com/name/nm0896542/	1930	https://www.imdb.com/title/tt0019959/
66	Lionel Barrymore	A Free Soul	1931	https://www.imdb.com/name/nm0000859/	1931	https://www.imdb.com/title/tt0021885/
67	Jackie Cooper	Skippy	1931	https://www.imdb.com/name/nm0178114/	1931	https://www.imdb.com/title/tt0022397/
68	Richard Dix	Cimarron	1931	https://www.imdb.com/name/nm0228715/	1931	https://www.imdb.com/title/tt0021746/
69	Fredric March	The Royal Family of Broadway	1931	https://www.imdb.com/name/nm0545298/	1931	https://www.imdb.com/title/tt0021322/
70	Adolphe Menjou	The Front Page	1931	https://www.imdb.com/name/nm0579663/	1931	https://www.imdb.com/title/tt0021890/
71	Marlene Dietrich	Morocco	1931	https://www.imdb.com/name/nm0000017/	1931	https://www.imdb.com/title/tt0021156/
72	Marie Dressler	Min and Bill	1931	https://www.imdb.com/name/nm0237597/	1931	https://www.imdb.com/title/tt0021148/
73	Irene Dunne	Cimarron	1931	https://www.imdb.com/name/nm0002050/	1931	https://www.imdb.com/title/tt0021746/
