	Year of award	Movie	movieID	year_awarded
300	1985	Cocoon	https://www.imdb.com/title/tt0088933/	1985
301	1984	The Killing Fields	https://www.imdb.com/title/tt0087553/	1984
302	1984	The Killing Fields	https://www.imdb.com/title/tt0087553/	1984
303	1973	The Paper Chase	https://www.imdb.com/title/tt0070509/	1973
304	1982	An Officer and a Gentleman	https://www.imdb.com/title/tt0084434/	1982
305	1998	Saving Private Ryan	https://www.imdb.com/title/tt0120815/	1998
306	2011	The Girl with the Dragon Tattoo	https://www.imdb.com/title/tt1132620/	2011
307	1960	The Apartment	https://www.imdb.com/title/tt0053604/	1960
308	1994	Schindler's List	https://www.imdb.com/title/tt0108052/	1994
309	1984	A Passage to India	https://www.imdb.com/title/tt0087892/	1984
310	1965	Doctor Zhivago	https://www.imdb.com/title/tt0059113/	1965
311	2004	Cold Mountain	https://www.imdb.com/title/tt0159365/	2004
312	1964	Mary Poppins	https://www.imdb.com/title/tt0058331/	1964
313	2016	The Revenant	https://www.imdb.com/title/tt1663202/	2016
314	1984	Amadeus	https://www.imdb.com/title/tt0086879/	1984
315	1988	Who Framed Roger Rabbit	https://www.imdb.com/title/tt0096438/	1988
316	1984	Amadeus	https://www.imdb.com/title/tt0086879/	1984
317	1973	The Exorcist	https://www.imdb.com/title/tt0070047/	1973
318	1965	Ship of Fools	https://www.imdb.com/title/tt0059712/	1965
319	2011	Saving Face	https://www.imdb.com/title/tt6659444/	2011
320	2014	12 Years a Slave	https://www.imdb.com/title/tt2024544/	2014
321	1982	Tootsie	https://www.imdb.com/title/tt0084805/	1982
322	1986	Platoon	https://www.imdb.com/title/tt0091763/	1986
323	2002	The Hours	https://www.imdb.com/title/tt0274558/	2002
324	2020	Joker	https://www.imdb.com/title/tt7286456/	2020
325	1984	Places in the Heart	https://www.imdb.com/title/tt0087921/	1984
326	2001	Erin Brockovich	https://www.imdb.com/title/tt0195685/	2001
327	1947	Gentleman's Agreement	https://www.imdb.com/title/tt0039416/	1947
328	1934	It Happened One Night	https://www.imdb.com/title/tt0025316/	1934
329	1959	Separate Tables	https://www.imdb.com/title/tt0052182/	1959
330	2014	Blue Jasmine	https://www.imdb.com/title/tt2334873/	2014
331	1995	Forrest Gump	https://www.imdb.com/title/tt0109830/	1995
332	2000	Traffic	https://www.imdb.com/title/tt0188674/	2000
333	1943	The More the Merrier	https://www.imdb.com/title/tt0036172/	1943
334	1959	Ben-Hur	https://www.imdb.com/title/tt0052618/	1959
335	1968	The Subject Was Roses	https://www.imdb.com/title/tt0063654/	1968
336	1995	Forrest Gump	https://www.imdb.com/title/tt0109830/	1995
337	2004	Finding Neverland	https://www.imdb.com/title/tt0308644/	2004
338	1996	The English Patient	https://www.imdb.com/title/tt0116209/	1996
339	1982	Raiders of the Lost Ark	https://www.imdb.com/title/tt0082971/	1982
340	1986	Platoon	https://www.imdb.com/title/tt0091763/	1986
341	2006	Little Miss Sunshine	https://www.imdb.com/title/tt0449059/	2006
342	1993	The Piano	https://www.imdb.com/title/tt0107822/	1993
343	1990	Dances with Wolves	https://www.imdb.com/title/tt0099348/	1990
344	1986	Hannah and Her Sisters	https://www.imdb.com/title/tt0091167/	1986
345	1981	Chariots of Fire	https://www.imdb.com/title/tt0082158/	1981
346	1964	Irma la Douce	https://www.imdb.com/title/tt0057187/	1964
347	2012	Life of Pi	https://www.imdb.com/title/tt0454876/	2012
348	1954	Secret Love	https://www.imdb.com/title/tt0045591/	1954
349	1935	The Informer	https://www.imdb.com/title/tt0026529/	1935
350	2002	Talk to Her	https://www.imdb.com/title/tt0287467/	2002
351	2001	The Lord of the Rings: The Fellowship of the Ring	https://www.imdb.com/title/tt0120737/	2001
352	1982	E.T. the Extra-Terrestrial	https://www.imdb.com/title/tt0083866/	1982
353	1984	The Killing Fields	https://www.imdb.com/title/tt0087553/	1984
354	1942	Blood and Sand	https://www.imdb.com/title/tt0033405/	1942
355	2002	Shrek	https://www.imdb.com/title/tt0126029/	2002
356	1961	West Side Story	https://www.imdb.com/title/tt0055614/	1961
357	1931	Dr. Jekyll and Mr. Hyde	https://www.imdb.com/title/tt0022835/	1931
358	1989	Glory	https://www.imdb.com/title/tt0097441/	1989
359	2012	The Artist	https://www.imdb.com/title/tt1655442/	2012
360	1998	Titanic	https://www.imdb.com/title/tt0120338/	1998
361	1970	Airport	https://www.imdb.com/title/tt0065377/	1970
362	1967	Guess Who's Coming to Dinner	https://www.imdb.com/title/tt0061735/	1967
363	1952	Viva Zapata!	https://www.imdb.com/title/tt0045296/	1952
364	1973	Paper Moon	https://www.imdb.com/title/tt0070510/	1973
365	1987	A Room with a View	https://www.imdb.com/title/tt0091867/	1987
366	2002	Chicago	https://www.imdb.com/title/tt0299658/	2002
367	1963	Lilies of the Field	https://www.imdb.com/title/tt0057251/	1963
368	2007	The Queen	https://www.imdb.com/title/tt0436697/	2007
369	1942	Johnny Eager	https://www.imdb.com/title/tt0033774/	1942
370	1956	The King and I	https://www.imdb.com/title/tt0049408/	1956
371	1984	The Killing Fields	https://www.imdb.com/title/tt0087553/	1984
372	1932	The Champ	https://www.imdb.com/title/tt0021730/	1932
373	2002	Gosford Park	https://www.imdb.com/title/tt0280707/	2002
374	1944	Wilson	https://www.imdb.com/title/tt0036515/characters/nm0933565	1944
375	2008	Slumdog Millionaire	https://www.imdb.com/title/tt1010048/	2008
376	2016	The Danish Girl	https://www.imdb.com/title/tt0810819/	2016
377	1938	The Adventures of Robin Hood	https://www.imdb.com/title/tt0029843/	1938
378	1935	A Midsummer Night's Dream	https://www.imdb.com/title/tt0026714/	1935
379	1962	Sky Above and Mud Beneath	https://www.imdb.com/title/tt0053714/	1962
380	1962	Lawrence of Arabia	https://www.imdb.com/title/tt0056172/	1962
381	1995	The Adventures of Priscilla, Queen of the Desert	https://www.imdb.com/title/tt0109045/	1995
382	1955	20,000 Leagues Under the Sea	https://www.imdb.com/title/tt0046672/	1955
383	2008	Milk	https://www.imdb.com/title/tt0446403/	2008
384	1947	The Bachelor and the Bobby-Soxer	https://www.imdb.com/title/tt0039169/	1947
385	1941	How Green Was My Valley	https://www.imdb.com/title/tt0033729/	1941
386	2013	Dallas Buyers Club	https://www.imdb.com/title/tt0790636/	2013
387	1998	L.A. Confidential	https://www.imdb.com/title/tt0119488/	1998
388	1975	One Flew Over the Cuckoo's Nest	https://www.imdb.com/title/tt0073486/	1975
