	year_of_award	movie	person	movieID	bioLink
0	1927	Two Arabian Knights	Lewis Milestone	https://www.imdb.com/title/tt0018515/	https://www.imdb.com/name/nm0587277/
1	1930	The Divine Lady	Frank Lloyd	https://www.imdb.com/title/tt0019824/	https://www.imdb.com/name/nm0515979/
2	1931	All Quiet on the Western Front	Lewis Milestone	https://www.imdb.com/title/tt0020629/	https://www.imdb.com/name/nm0587277/
3	1932	Skippy	Norman Taurog	https://www.imdb.com/title/tt0022397/	https://www.imdb.com/name/nm0851537/
4	1933	Bad Girl	Frank Borzage	https://www.imdb.com/title/tt0021635/	https://www.imdb.com/name/nm0097648/
5	1934	Cavalcade	Frank Lloyd	https://www.imdb.com/title/tt0023876/	https://www.imdb.com/name/nm0515979/
6	1935	It Happened One Night	Frank Capra	https://www.imdb.com/title/tt0025316/	https://www.imdb.com/name/nm0001008/awards
7	1936	The Informer	John Ford	https://www.imdb.com/title/tt0026529/	https://www.imdb.com/name/nm0000406/awards
8	1937	Mr. Deeds Goes to Town	Frank Capra	https://www.imdb.com/title/tt0027996/	https://www.imdb.com/name/nm0001008/awards
9	1938	The Awful Truth	Leo McCarey	https://www.imdb.com/title/tt0028597/	https://www.imdb.com/name/nm0564970/
10	1939	You Can't Take It with You	Frank Capra	https://www.imdb.com/title/tt0030993/	https://www.imdb.com/name/nm0001008/awards
11	1940	Gone with the Wind	Victor Fleming	https://www.imdb.com/title/tt0031381/	https://www.imdb.com/name/nm0281808/
12	1941	The Grapes of Wrath	John Ford	https://www.imdb.com/title/tt0032551/	https://www.imdb.com/name/nm0000406/awards
13	1942	How Green Was My Valley	John Ford	https://www.imdb.com/title/tt0033729/	https://www.imdb.com/name/nm0000406/awards
14	1943	Mrs. Miniver	William Wyler	https://www.imdb.com/title/tt0035093/	https://www.imdb.com/name/nm0943758/
15	1944	Casablanca	Michael Curtiz	https://www.imdb.com/title/tt0034583/	https://www.imdb.com/name/nm0002031/awards
16	1945	Going My Way	Leo McCarey	https://www.imdb.com/title/tt0036872/	https://www.imdb.com/name/nm0564970/
17	1962	West Side Story	Jerome Robbins	https://www.imdb.com/title/tt0055614/	https://www.imdb.com/name/nm0730385/
18	1946	The Lost Weekend	Billy Wilder	https://www.imdb.com/title/tt0037884/	https://www.imdb.com/name/nm0000697/awards
19	1947	The Best Years of Our Lives	William Wyler	https://www.imdb.com/title/tt0036868/	https://www.imdb.com/name/nm0943758/
20	1948	Gentleman's Agreement	Elia Kazan	https://www.imdb.com/title/tt0039416/	https://www.imdb.com/name/nm0001415/
21	1949	The Treasure of the Sierra Madre	John Huston	https://www.imdb.com/title/tt0040897/	https://www.imdb.com/name/nm0001379/awards
22	1950	A Letter to Three Wives	Joseph L. Mankiewicz	https://www.imdb.com/title/tt0041587/	https://www.imdb.com/name/nm0000581/
23	1951	All About Eve	Joseph L. Mankiewicz	https://www.imdb.com/title/tt0042192/	https://www.imdb.com/name/nm0000581/
24	1952	A Place in the Sun	George Stevens	https://www.imdb.com/title/tt0043924/	https://www.imdb.com/name/nm0828419/awards
25	1953	The Quiet Man	John Ford	https://www.imdb.com/title/tt0045061/	https://www.imdb.com/name/nm0000406/awards
26	1954	From Here to Eternity	Fred Zinnemann	https://www.imdb.com/title/tt0045793/	https://www.imdb.com/name/nm0003593/
27	1955	On the Waterfront	Elia Kazan	https://www.imdb.com/title/tt0047296/	https://www.imdb.com/name/nm0001415/
28	1956	Marty	Delbert Mann	https://www.imdb.com/title/tt0048356/	https://www.imdb.com/name/nm0542720/
29	1957	Giant	George Stevens	https://www.imdb.com/title/tt0049261/	https://www.imdb.com/name/nm0828419/awards
30	1958	The Bridge on the River Kwai	David Lean	https://www.imdb.com/title/tt0050212/	https://www.imdb.com/name/nm0000180/awards
31	1959	Gigi	Vincente Minnelli	https://www.imdb.com/title/tt0051658/	https://www.imdb.com/name/nm0591486/awards
32	1960	Ben-Hur	William Wyler	https://www.imdb.com/title/tt0052618/	https://www.imdb.com/name/nm0943758/
33	1961	The Apartment	Billy Wilder	https://www.imdb.com/title/tt0053604/	https://www.imdb.com/name/nm0000697/awards
34	1961	West Side Story	Robert Wise	https://www.imdb.com/title/tt0055614/	https://www.imdb.com/name/nm0936404/awards
35	1963	Lawrence of Arabia	David Lean	https://www.imdb.com/title/tt0056172/	https://www.imdb.com/name/nm0000180/awards
