	year_of_award	movie	person	movieID	bioLink
36	1964	Tom Jones	Tony Richardson	https://www.imdb.com/title/tt0057590/	https://www.imdb.com/name/nm0724798/
37	1965	My Fair Lady	George Cukor	https://www.imdb.com/title/tt0058385/	https://www.imdb.com/name/nm0002030/awards
38	1966	The Sound of Music	Robert Wise	https://www.imdb.com/title/tt0059742/	https://www.imdb.com/name/nm0936404/awards
39	1967	A Man for All Seasons	Fred Zinnemann	https://www.imdb.com/title/tt0060665/	https://www.imdb.com/name/nm0003593/
40	1968	The Graduate	Mike Nichols	https://www.imdb.com/title/tt0061722/	https://www.imdb.com/name/nm0001566/awards
41	2008	No Country for Old Men	Joel Coen	https://www.imdb.com/title/tt0477348/	https://www.imdb.com/name/nm0001054/awards
42	1969	Oliver!	Carol Reed	https://www.imdb.com/title/tt0063385/	https://www.imdb.com/name/nm0715346/awards
43	1969	Midnight Cowboy	John Schlesinger	https://www.imdb.com/title/tt0064665/	https://www.imdb.com/name/nm0772259/
44	1970	Patton	Franklin J. Schaffner	https://www.imdb.com/title/tt0066206/	https://www.imdb.com/name/nm0769874/
45	1972	The French Connection	William Friedkin	https://www.imdb.com/title/tt0067116/	https://www.imdb.com/name/nm0001243/awards
46	1973	Cabaret	Bob Fosse	https://www.imdb.com/title/tt0068327/	https://www.imdb.com/name/nm0002080/
47	1973	The Sting	George Roy Hill	https://www.imdb.com/title/tt0070735/	https://www.imdb.com/name/nm0001351/
48	1975	The Godfather Part II	Francis Ford Coppola	https://www.imdb.com/title/tt0071562/	https://www.imdb.com/name/nm0000338/awards
49	1976	One Flew over the Cuckoo's Nest	Milos Forman	https://www.imdb.com/title/tt0073486/	https://www.imdb.com/name/nm0001232/
50	1976	Rocky	John G. Avildsen	https://www.imdb.com/title/tt0073629/	https://www.imdb.com/name/nm0000814/
51	1978	Annie Hall	Woody Allen	https://www.imdb.com/title/tt0075686/	https://www.imdb.com/name/nm0000095/awards
52	1979	The Deer Hunter	Michael Cimino	https://www.imdb.com/title/tt0077416/	https://www.imdb.com/name/nm0001047/awards
53	1980	Kramer vs. Kramer	Robert Benton	https://www.imdb.com/title/tt0079417/	https://www.imdb.com/name/nm0000914/
54	1980	Ordinary People	Robert Redford	https://www.imdb.com/title/tt0081283/	https://www.imdb.com/name/nm0000602/awards
55	1981	Reds	Warren Beatty	https://www.imdb.com/title/tt0082979/	https://www.imdb.com/name/nm0000886/awards
56	1982	Gandhi	Richard Attenborough	https://www.imdb.com/title/tt0083987/	https://www.imdb.com/name/nm0000277/awards
57	1983	Terms of Endearment	James L. Brooks	https://www.imdb.com/title/tt0086425/	https://www.imdb.com/name/nm0000985/
58	1985	Amadeus	Milos Forman	https://www.imdb.com/title/tt0086879/	https://www.imdb.com/name/nm0001232/
59	1986	Out of Africa	Sydney Pollack	https://www.imdb.com/title/tt0089755/	https://www.imdb.com/name/nm0001628/awards
60	1990	Platoon	Oliver Stone	https://www.imdb.com/title/tt0091763/	https://www.imdb.com/name/nm0000231/awards
61	1988	The Last Emperor	Bernardo Bertolucci	https://www.imdb.com/title/tt0093389/	https://www.imdb.com/name/nm0000934/awards
62	1989	Rain Man	Barry Levinson	https://www.imdb.com/title/tt0095953/	https://www.imdb.com/name/nm0001469/awards
63	1990	Born on the Fourth of July	Oliver Stone	https://www.imdb.com/title/tt0096969/	https://www.imdb.com/name/nm0000231/awards
64	1991	Dances with Wolves	Kevin Costner	https://www.imdb.com/title/tt0099348/	https://www.imdb.com/name/nm0000126/awards
65	1992	The Silence of the Lambs	Jonathan Demme	https://www.imdb.com/title/tt0102926/	https://www.imdb.com/name/nm0001129/
66	1993	Unforgiven	Clint Eastwood	https://www.imdb.com/title/tt0105695/	https://www.imdb.com/name/nm0000142/awards
67	1994	Schindler's List	Steven Spielberg	https://www.imdb.com/title/tt0108052/	https://www.imdb.com/name/nm0000229/awards
68	1995	Forrest Gump	Robert Zemeckis	https://www.imdb.com/title/tt0109830/	https://www.imdb.com/name/nm0000709/awards
69	1996	Braveheart	Mel Gibson	https://www.imdb.com/title/tt0112573/	https://www.imdb.com/name/nm0000154/awards
70	1997	The English Patient	Anthony Minghella	https://www.imdb.com/title/tt0116209/	https://www.imdb.com/name/nm0005237/
71	1998	Titanic	James Cameron	https://www.imdb.com/title/tt0120338/	https://www.imdb.com/name/nm0000116/awards
72	1999	Saving Private Ryan	Steven Spielberg	https://www.imdb.com/title/tt0120815/	https://www.imdb.com/name/nm0000229/awards
73	2000	American Beauty	Sam Mendes	https://www.imdb.com/title/tt0169547/	https://www.imdb.com/name/nm0005222/awards
74	2001	Traffic	Steven Soderbergh	https://www.imdb.com/title/tt0181865/	https://www.imdb.com/name/nm0001752/awards
75	2002	A Beautiful Mind	Ron Howard	https://www.imdb.com/title/tt0268978/	https://www.imdb.com/name/nm0000165/awards
76	2003	The Pianist	Roman Polanski	https://www.imdb.com/title/tt0253474/	https://www.imdb.com/name/nm0000591/awards
77	2004	The Lord of the Rings: Return of the King	Peter Jackson	https://www.imdb.com/title/tt0167260/	https://www.imdb.com/name/nm0001392/awards
78	2005	Million Dollar Baby	Clint Eastwood	https://www.imdb.com/title/tt0405159/	https://www.imdb.com/name/nm0000142/awards
79	2006	Brokeback Mountain	Ang Lee	https://www.imdb.com/title/tt0388795/	https://www.imdb.com/name/nm0000487/awards
80	2007	The Departed	Martin Scorsese	https://www.imdb.com/title/tt0407887/	https://www.imdb.com/name/nm0000217/awards
81	2008	No Country for Old Men	Ethan Coen	https://www.imdb.com/title/tt0477348/	https://www.imdb.com/name/nm0001053/awards
82	2009	Slumdog Millionaire	Danny Boyle	https://www.imdb.com/title/tt1010048/	https://www.imdb.com/name/nm0000965/awards
83	2009	The Hurt Locker	Kathryn Bigelow	https://www.imdb.com/title/tt0887912/	https://www.imdb.com/name/nm0000941/
84	2011	The King's Speech	Tom Hooper	https://www.imdb.com/title/tt1504320/	https://www.imdb.com/name/nm0393799/awards
85	2012	The Artist	Michel Hazanavicius	https://www.imdb.com/title/tt1655442/	https://www.imdb.com/name/nm0371890/
86	2013	Life of Pi	Ang Lee	https://www.imdb.com/title/tt0454876/	https://www.imdb.com/name/nm0000487/awards
87	1929	The Last Command	Emil Jannings	https://www.imdb.com/title/tt0019071/	https://www.imdb.com/name/nm0417837/awards
88	1930	In Old Arizona	Warner Baxter	https://www.imdb.com/title/tt0020018/	https://www.imdb.com/name/nm0062828/awards
89	1930	Desraeli	George Arliss	https://www.imdb.com/title/tt0019823/	https://www.imdb.com/name/nm0002183/
90	1931	A Free Soul	Lionel Barrymore	https://www.imdb.com/title/tt0021885/	https://www.imdb.com/name/nm0000859/awards
91	1932	The Champ	Wallace Beery	https://www.imdb.com/title/tt0021730/	https://www.imdb.com/name/nm0000891/awards
92	1934	The Private Life of Henry VIII	Charles Laughton	https://www.imdb.com/title/tt0024473/	https://www.imdb.com/name/nm0001452/awards
93	1935	It Happened One Night	Clark Gable	https://www.imdb.com/title/tt0025316/	https://www.imdb.com/name/nm0000022/awards
94	1936	The Informer	Victor McLaglen	https://www.imdb.com/title/tt0026529/	https://www.imdb.com/name/nm0572142/
95	1937	The Story of Louis Pasteur	Paul Muni	https://www.imdb.com/title/tt0028313/	https://www.imdb.com/name/nm0612847/awards
96	1938	Captains Courageous	Spencer Tracy	https://www.imdb.com/title/tt0028691/	https://www.imdb.com/name/nm0000075/awards
97	1939	Boys Town	Spencer Tracy	https://www.imdb.com/title/tt0029942/	https://www.imdb.com/name/nm0000075/awards
98	1940	Goodbye Mr. Chips	Robert Donat	https://www.imdb.com/title/tt0031385/	https://www.imdb.com/name/nm0232196/awards
99	1941	The Philadelphia Story	Jimmy Stewart	https://www.imdb.com/title/tt0032904/	https://www.imdb.com/name/nm0000071/awards
100	1942	Sergeant York	Gary Cooper	https://www.imdb.com/title/tt0034167/	https://www.imdb.com/name/nm0000011/awards
101	1943	Yankee Doodle Dandy	James Cagney	https://www.imdb.com/title/tt0035575/	https://www.imdb.com/name/nm0000010/awards
102	1944	Watch on the Rhine	Paul Lukas	https://www.imdb.com/title/tt0036515/	https://www.imdb.com/name/nm0510134/
103	1945	Going My Way	Bing Crosby	https://www.imdb.com/title/tt0036872/	https://www.imdb.com/name/nm0001078/awards
104	1946	The Lost Weekend	Ray Milland	https://www.imdb.com/title/tt0037884/	https://www.imdb.com/name/nm0001537/awards
105	1947	The Best Years of Our Lives	Fredric March	https://www.imdb.com/title/tt0036868/	https://www.imdb.com/name/nm0545298/awards
106	1948	A Double Life	Ronald Colman	https://www.imdb.com/title/tt0039335/	https://www.imdb.com/name/nm0172903/awards
107	1949	Hamlet	Laurence Olivier	https://www.imdb.com/title/tt0040416/	https://www.imdb.com/name/nm0000059/awards
108	1950	All The King's Men	Broderick Crawford	https://www.imdb.com/title/tt0041113/	https://www.imdb.com/name/nm0002024/
109	1951	Cyrano de Bergerac	Jose Ferrer	https://www.imdb.com/title/tt0042367/	https://www.imdb.com/name/nm0001207/awards
110	1952	The Africa Queen	Humphrey Bogart	https://www.imdb.com/title/tt0043265/	https://www.imdb.com/name/nm0000007/awards
111	1953	High Noon	Gary Cooper	https://www.imdb.com/title/tt0044706/	https://www.imdb.com/name/nm0000011/awards
112	1954	Stalag 17	William Holden	https://www.imdb.com/title/tt0046359/	https://www.imdb.com/name/nm0000034/awards
113	1955	On the Waterfront	Marlon Brando	https://www.imdb.com/title/tt0047296/	https://www.imdb.com/name/nm0000008/awards
114	1956	Marty	Ernest Borgnine	https://www.imdb.com/title/tt0048356/	https://www.imdb.com/name/nm0000308/awards
115	1957	The King and I	Yul Brynner	https://www.imdb.com/title/tt0049408/	https://www.imdb.com/name/nm0000989/awards
116	1958	The Bridge on the River Kwai	Alec Guinness	https://www.imdb.com/title/tt0050212/	https://www.imdb.com/name/nm0000027/awards
117	1959	Separate Tables	David Niven	https://www.imdb.com/title/tt0052182/	https://www.imdb.com/name/nm0000057/awards
118	1960	Ben-hur	Charlton Heston	https://www.imdb.com/title/tt0052618/	https://www.imdb.com/name/nm0000032/awards
119	1961	Elmer Gantry	Burt Lancaster	https://www.imdb.com/title/tt0053793/	https://www.imdb.com/name/nm0000044/awards
120	1962	Judgement at Nuremberg	Maximilian Schell	https://www.imdb.com/title/tt0055031/	https://www.imdb.com/name/nm0001703/awards
121	1963	To Kill a Mockingbird	Gregory Peck	https://www.imdb.com/title/tt0056592/	https://www.imdb.com/name/nm0000060/awards
122	1964	Lilies of the Field	Sidney Poitier	https://www.imdb.com/title/tt0057251/	https://www.imdb.com/name/nm0001627/awards
123	1965	My Fair Lady	Rex Harrison	https://www.imdb.com/title/tt0058385/	https://www.imdb.com/name/nm0001322/awards
124	1966	Cat Ballou	Lee Marvin	https://www.imdb.com/title/tt0059017/	https://www.imdb.com/name/nm0001511/awards
125	1967	A Man For All Seasons	Paul Scofield	https://www.imdb.com/title/tt0060665/	https://www.imdb.com/name/nm0006890/awards
126	1968	In the Heat of the Night	Rod Steiger	https://www.imdb.com/title/tt0061811/	https://www.imdb.com/name/nm0001768/awards
127	1969	Charly	Cliff Robertson	https://www.imdb.com/title/tt0062794/	https://www.imdb.com/name/nm0731772/awards
128	1970	True Grit	John Wayne	https://www.imdb.com/title/tt0065126/	https://www.imdb.com/name/nm0000078/awards
129	1971	Patton	George C. Scott	https://www.imdb.com/title/tt0066206/	https://www.imdb.com/name/nm0001715/
130	1972	The French Connection	Gene Hackman	https://www.imdb.com/title/tt0067116/	https://www.imdb.com/name/nm0000432/awards
131	1973	The Godfather	Marlon Brando	https://www.imdb.com/title/tt0068646/	https://www.imdb.com/name/nm0000008/awards
132	1974	Save the Tiger	Jack Lemmon	https://www.imdb.com/title/tt0070640/	https://www.imdb.com/name/nm0000493/awards
133	1975	Harry and Tonto	Art Carney	https://www.imdb.com/title/tt0071598/	https://www.imdb.com/name/nm0138770/
134	1976	One Flew Over the Cuckoo's Nest	Jack Nicholson	https://www.imdb.com/title/tt0073486/	https://www.imdb.com/name/nm0000197/awards
135	1977	Network	Peter Finch	https://www.imdb.com/title/tt0074958/	https://www.imdb.com/name/nm0002075/awards
136	1978	The Goodbye Girl	Richard Dreyfuss	https://www.imdb.com/title/tt0076095/	https://www.imdb.com/name/nm0000377/awards
137	1979	Coming Home	Jon Voight	https://www.imdb.com/title/tt0077362/	https://www.imdb.com/name/nm0000685/awards
138	1980	Kramer vs. Kramer	Dustin Hoffman	https://www.imdb.com/title/tt0079417/	https://www.imdb.com/name/nm0000163/awards
139	1981	Raging Bull	Robert De Niro	https://www.imdb.com/title/tt0081398/	https://www.imdb.com/name/nm0000134/awards
140	1982	On Golden Pond	Henry Fonda	https://www.imdb.com/title/tt0082846/	https://www.imdb.com/name/nm0000020/awards
141	1983	Gandhi	Ben Kingsley	https://www.imdb.com/title/tt0083987/	https://www.imdb.com/name/nm0001426/awards
142	1984	Tender Mercies	Robert Duvall	https://www.imdb.com/title/tt0086423/	https://www.imdb.com/name/nm0000380/awards
143	1985	Amadeus	F. Murray Abraham	https://www.imdb.com/title/tt0086879/	https://www.imdb.com/name/nm0000719/
144	1986	Kiss of the Spider Woman	William Hurt	https://www.imdb.com/title/tt0089424/	https://www.imdb.com/name/nm0000458/awards
145	1987	The Color of Money	Paul Newman	https://www.imdb.com/title/tt0090863/	https://www.imdb.com/name/nm0000056/awards
146	1988	Wall Street	Michael Douglas	https://www.imdb.com/title/tt0094291/	https://www.imdb.com/name/nm0000140/
147	1989	Rainman	Dustin Hoffman	https://www.imdb.com/title/tt0095953/	https://www.imdb.com/name/nm0000163/awards
148	1990	My Left Foot	Daniel Day-Lewis	https://www.imdb.com/title/tt0097937/	https://www.imdb.com/name/nm0000358/awards
149	1991	Reversal of Fortune	Jeremy Irons	https://www.imdb.com/title/tt0100486/	https://www.imdb.com/name/nm0000460/awards
150	1992	Silence of the Lambs	Anthony Hopkins	https://www.imdb.com/title/tt0102926/	https://www.imdb.com/name/nm0000164/awards
151	1993	Scent of a Woman	Al Pacino	https://www.imdb.com/title/tt0105323/	https://www.imdb.com/name/nm0000199/awards
152	1994	Philadelphia	Tom Hanks	https://www.imdb.com/title/tt0107818/	https://www.imdb.com/name/nm0000158/awards
153	1995	Forrest Gump	Tom Hanks	https://www.imdb.com/title/tt0109830/	https://www.imdb.com/name/nm0000158/awards
154	1996	Leaving Las Vegas	Nicolas Cage	https://www.imdb.com/title/tt0113627/	https://www.imdb.com/name/nm0000115/awards
155	1997	Shine	Geoffrey Rush	https://www.imdb.com/title/tt0117631/	https://www.imdb.com/name/nm0001691/awards
156	1997	As Good as It Gets	Jack Nicholson	https://www.imdb.com/title/tt0119822/	https://www.imdb.com/name/nm0000197/awards
157	1999	Life is Beautiful	Roberto Benigni	https://www.imdb.com/title/tt0118799/	https://www.imdb.com/name/nm0000905/
158	2000	American Beauty	Kevin Spacey	https://www.imdb.com/title/tt0169547/	https://www.imdb.com/name/nm0000228/awards
159	2001	Gladiator	Russell Crowe	https://www.imdb.com/title/tt0172495/	https://www.imdb.com/name/nm0000128/awards
160	2002	Training Day	Denzel Washington	https://www.imdb.com/title/tt0139654/	https://www.imdb.com/name/nm0000243/awards
161	2003	The Pianist	Adrien Brody	https://www.imdb.com/title/tt0253474/	https://www.imdb.com/name/nm0004778/awards
162	2003	Mystic River	Sean Penn	https://www.imdb.com/title/tt0327056/	https://www.imdb.com/name/nm0000576/awards
163	2005	Ray	Jamie Foxx	https://www.imdb.com/title/tt0350258/	https://www.imdb.com/name/nm0004937/awards
164	2006	Capote	Philip Seymour Hoffman	https://www.imdb.com/title/tt0379725/	https://www.imdb.com/name/nm0000450/
165	2007	The Last King of Scotland	Forest Whitaker	https://www.imdb.com/title/tt0455590/	https://www.imdb.com/name/nm0001845/awards
166	2008	There Will Be Blood	Daniel Day-Lewis	https://www.imdb.com/title/tt0469494/	https://www.imdb.com/name/nm0000358/awards
167	2009	Milk	Sean Penn	https://www.imdb.com/title/tt1013753/	https://www.imdb.com/name/nm0000576/awards
168	2010	Crazy Heart	Jeff Bridges	https://www.imdb.com/title/tt1263670/	https://www.imdb.com/name/nm0000313/awards
169	2011	The King's Speech	Colin Firth	https://www.imdb.com/title/tt1504320/	https://www.imdb.com/name/nm0000147/awards
170	2012	The Artist	Jean Dujardin	https://www.imdb.com/title/tt1655442/	https://www.imdb.com/name/nm0241121/
171	2013	Lincoln	Daniel Day-Lewis	https://www.imdb.com/title/tt0443272/	https://www.imdb.com/name/nm0000358/awards
172	2014	Dallas Buyers Club	Matthew McConaughey	https://www.imdb.com/title/tt0790636/	https://www.imdb.com/name/nm0000190/awards
173	1938	Come and Get It	Walter Brennan	https://www.imdb.com/title/tt0027459/	https://www.imdb.com/name/nm0000974/awards
174	1938	The Life of Emile Zola	Joseph Schildkraut	https://www.imdb.com/title/tt0029146/	https://www.imdb.com/name/nm0771584/
175	1939	Kentucky	Walter Brennan	https://www.imdb.com/title/tt0030317/	https://www.imdb.com/name/nm0000974/awards
176	1940	Stagecoach	Thomas Mitchell	https://www.imdb.com/title/tt0031971/	https://www.imdb.com/name/nm0593775/awards
177	1941	The Westerner	Walter Brennan	https://www.imdb.com/title/tt0033253/	https://www.imdb.com/name/nm0000974/awards
178	1942	How Green Was My Valley	Donald Crisp	https://www.imdb.com/title/tt0033729/	https://www.imdb.com/name/nm0187981/
179	1943	Johnny Eager	Van Heflin	https://www.imdb.com/title/tt0033774/	https://www.imdb.com/name/nm0001336/awards
180	1944	The More the Merrier	Charles Coburn	https://www.imdb.com/title/tt0036172/	https://www.imdb.com/name/nm0002013/
181	1945	Going My Way	Barry Fitzgerald	https://www.imdb.com/title/tt0036872/	https://www.imdb.com/name/nm0280178/awards
182	1946	A Tree Grows in Brooklyn	James Dunn	https://www.imdb.com/title/tt0038190/	https://www.imdb.com/name/nm0007223/
183	1947	The Best Years of Our Lives	Harold Russell	https://www.imdb.com/title/tt0036868/	https://www.imdb.com/name/nm0751174/
184	1948	Miracle on 34th Street	Edmund Gwenn	https://www.imdb.com/title/tt0039628/	https://www.imdb.com/name/nm0350324/
185	1949	The Treasure of the Sierra Madre	Walter Huston	https://www.imdb.com/title/tt0040897/	https://www.imdb.com/name/nm0404158/awards
186	1950	Twelve O'Clock High	Dean Jagger	https://www.imdb.com/title/tt0041996/	https://www.imdb.com/name/nm0415591/awards
187	1951	All About Eve	George Sanders	https://www.imdb.com/title/tt0042192/	https://www.imdb.com/name/nm0001695/awards
188	1952	A Streetcar Named Desire	Karl Malden	https://www.imdb.com/title/tt0044081/	https://www.imdb.com/name/nm0001500/awards
189	1953	Viva Zapata!	Anthony Quinn	https://www.imdb.com/title/tt0045296/	https://www.imdb.com/name/nm0000063/awards
190	1954	From Here to Eternity	Frank Sinatra	https://www.imdb.com/title/tt0045793/	https://www.imdb.com/name/nm0000069/awards
191	1955	The Barefoot Contessa	Edmond O'Brien	https://www.imdb.com/title/tt0046754/	https://www.imdb.com/name/nm0639529/
192	1956	Mister Roberts	Jack Lemmon	https://www.imdb.com/title/tt0048380/	https://www.imdb.com/name/nm0000493/awards
193	1957	Lust for Life	Anthony Quinn	https://www.imdb.com/title/tt0049456/	https://www.imdb.com/name/nm0000063/awards
194	1958	Sayonara	Red Buttons	https://www.imdb.com/title/tt0050933/	https://www.imdb.com/name/nm0000999/awards
195	1959	The Big Country	Burl Ives	https://www.imdb.com/title/tt0051411/	https://www.imdb.com/name/nm0412322/awards
196	1960	Ben-Hur	Hugh Griffith	https://www.imdb.com/title/tt0052618/	https://www.imdb.com/name/nm0341518/
197	1961	Spartacus	Peter Ustinov	https://www.imdb.com/title/tt0054331/	https://www.imdb.com/name/nm0001811/awards
198	1962	West Side Story	George Chakiris	https://www.imdb.com/title/tt0055614/	https://www.imdb.com/name/nm0001995/awards
199	1963	Sweet Bird of Youth	Ed Begley, Sr.	https://www.imdb.com/title/tt0056541/	https://www.imdb.com/name/nm0003225/
200	1964	Hud	Melvyn Douglas	https://www.imdb.com/title/tt0057163/	https://www.imdb.com/name/nm0002048/
201	1965	Topkapi	Peter Ustinov	https://www.imdb.com/title/tt0058672/	https://www.imdb.com/name/nm0001811/awards
202	1966	A Thousand Clowns	Martin Balsam	https://www.imdb.com/title/tt0059798/	https://www.imdb.com/name/nm0000842/awards
203	1967	The Fortune Cookie	Walter Matthau	https://www.imdb.com/title/tt0060424/	https://www.imdb.com/name/nm0000527/awards
204	1968	Cool Hand Luke	George Kennedy	https://www.imdb.com/title/tt0061512/	https://www.imdb.com/name/nm0001421/awards
205	1969	The Subject Was Roses	Jack Albertson	https://www.imdb.com/title/tt0063654/	https://www.imdb.com/name/nm0016776/
206	1970	They Shoot Horses, Don't They?	Gig Young	https://www.imdb.com/title/tt0065088/	https://www.imdb.com/name/nm0949574/
207	1971	Ryan's Daughter	John Mills	https://www.imdb.com/title/tt0066319/	https://www.imdb.com/name/nm0590055/awards
208	1972	The Last Picture Show	Ben Johnson	https://www.imdb.com/title/tt0067328/	https://www.imdb.com/name/nm0424565/awards
209	1973	Cabaret	Joel Grey	https://www.imdb.com/title/tt0068327/	https://www.imdb.com/name/nm0001297/awards
210	1974	The Paper Chase	John Houseman	https://www.imdb.com/title/tt0070509/	https://www.imdb.com/name/nm0002144/
211	1975	The Godfather Part II	Robert De Niro	https://www.imdb.com/title/tt0071562/	https://www.imdb.com/name/nm0000134/awards
212	1976	The Sunshine Boys	George Burns	https://www.imdb.com/title/tt0073766/	https://www.imdb.com/name/nm0122675/awards
213	1977	All the President's Men	Jason Robards	https://www.imdb.com/title/tt0074119/	https://www.imdb.com/name/nm0001673/awards
214	1978	Julia	Jason Robards	https://www.imdb.com/title/tt0076245/	https://www.imdb.com/name/nm0001673/awards
215	1979	The Deer Hunter	Christopher Walken	https://www.imdb.com/title/tt0077416/	https://www.imdb.com/name/nm0000686/awards
216	1980	Being There	Melvyn Douglas	https://www.imdb.com/title/tt0078841/	https://www.imdb.com/name/nm0002048/
217	1981	Oridnary People	Timothy Hutton	https://www.imdb.com/title/tt0081283/	https://www.imdb.com/name/nm0000459/awards
218	1982	Arthur	John Gielgud	https://www.imdb.com/title/tt0082031/	https://www.imdb.com/name/nm0000024/awards
219	1983	An Officer and a Gentleman	Lou Gossett, Jr.	https://www.imdb.com/title/tt0084434/	https://www.imdb.com/name/nm0001283/
220	1984	Terms of Endearment	Jack Nicholson	https://www.imdb.com/title/tt0086425/	https://www.imdb.com/name/nm0000197/awards
221	1985	The Killing Fields	Haing S. Ngor	https://www.imdb.com/title/tt0087553/	https://www.imdb.com/name/nm0628955/
222	1986	Cocoon	Don Ameche	https://www.imdb.com/title/tt0088933/	https://www.imdb.com/name/nm0000747/awards
223	1987	Hannah and Her Sisters	Michael Caine	https://www.imdb.com/title/tt0091167/	https://www.imdb.com/name/nm0000323/awards
224	1988	The Untouchables	Sean Connery	https://www.imdb.com/title/tt0094226/	https://www.imdb.com/name/nm0000125/awards
225	1989	A Fish Called Wanda	Kevin Kline	https://www.imdb.com/title/tt0095159/	https://www.imdb.com/name/nm0000177/awards
226	1990	Glory	Denzel Washington	https://www.imdb.com/title/tt0097441/	https://www.imdb.com/name/nm0000243/awards
227	1991	Good Fellas	Joe Pesci	https://www.imdb.com/title/tt0099685/	https://www.imdb.com/name/nm0000582/awards
228	1992	City Slickers	Jack Palance	https://www.imdb.com/title/tt0101587/	https://www.imdb.com/name/nm0001588/awards
