,Person,Date of birth,Birthplace,Country of birth,Award,Edition,Movie,Year of award,Bio NNDB,Bio IMDb,Bio Wikipedia,imdbID,movieID,movie_IMDB_Link
0,János Székely,1901-07-07,Budapest,Hungary,Best Story,13th Academy Awards,"Arise, My Love",1940,,https://www.imdb.com/name/nm0844459,https://en.wikipedia.org/wiki/J%C3%A1nos_Sz%C3%A9kely_(writer),nm0844459,tt0032220,https://www.imdb.com/title/tt0032220/
1,Elia Kazan,1909-09-07,Constantinople,Byzantine Empire,Best Director,27th Academy Awards,On the Waterfront,1954,https://www.nndb.com/people/537/000026459,https://www.imdb.com/name/nm0001415,https://en.wikipedia.org/wiki/Elia_Kazan,nm0001415,tt0047677,https://www.imdb.com/title/tt0047677/
2,Elia Kazan,1909-09-07,Constantinople,Byzantine Empire,Best Director,27th Academy Awards,On the Waterfront,1954,https://www.nndb.com/people/537/000026459,https://www.imdb.com/name/nm0001415,https://en.wikipedia.org/wiki/Elia_Kazan,nm0001415,tt0047677,https://www.imdb.com/title/tt0047677/
3,Elia Kazan,1909-09-07,Constantinople,Byzantine Empire,Best Director,27th Academy Awards,On the Waterfront,1954,https://www.nndb.com/people/537/000026459,https://www.imdb.com/name/nm0001415,https://en.wikipedia.org/wiki/Elia_Kazan,nm0001415,tt0047677,https://www.imdb.com/title/tt0047677/
4,Elia Kazan,1909-09-07,Constantinople,Byzantine Empire,Best Director,27th Academy Awards,On the Waterfront,1954,https://www.nndb.com/people/537/000026459,https://www.imdb.com/name/nm0001415,https://en.wikipedia.org/wiki/Elia_Kazan,nm0001415,tt0047677,https://www.imdb.com/title/tt0047677/
5,Elia Kazan,1909-09-07,Constantinople,Ottoman Empire,Best Director,27th Academy Awards,On the Waterfront,1954,https://www.nndb.com/people/537/000026459,https://www.imdb.com/name/nm0001415,https://en.wikipedia.org/wiki/Elia_Kazan,nm0001415,tt0047677,https://www.imdb.com/title/tt0047677/
6,Elia Kazan,1909-09-07,Constantinople,Ottoman Empire,Best Director,27th Academy Awards,On the Waterfront,1954,https://www.nndb.com/people/537/000026459,https://www.imdb.com/name/nm0001415,https://en.wikipedia.org/wiki/Elia_Kazan,nm0001415,tt0047677,https://www.imdb.com/title/tt0047677/
7,Elia Kazan,1909-09-07,Constantinople,Ottoman Empire,Best Director,27th Academy Awards,On the Waterfront,1954,https://www.nndb.com/people/537/000026459,https://www.imdb.com/name/nm0001415,https://en.wikipedia.org/wiki/Elia_Kazan,nm0001415,tt0047677,https://www.imdb.com/title/tt0047677/
8,Elia Kazan,1909-09-07,Constantinople,Ottoman Empire,Best Director,27th Academy Awards,On the Waterfront,1954,https://www.nndb.com/people/537/000026459,https://www.imdb.com/name/nm0001415,https://en.wikipedia.org/wiki/Elia_Kazan,nm0001415,tt0047677,https://www.imdb.com/title/tt0047677/
9,Elia Kazan,1909-09-07,Constantinople,Latin Empire,Best Director,27th Academy Awards,On the Waterfront,1954,https://www.nndb.com/people/537/000026459,https://www.imdb.com/name/nm0001415,https://en.wikipedia.org/wiki/Elia_Kazan,nm0001415,tt0047677,https://www.imdb.com/title/tt0047677/
