,Person,Date of birth,Birthplace,Country of birth,Award,Edition,Movie,Year of award,Bio NNDB,Bio IMDb,Bio Wikipedia,imdbID,movieID,movie_IMDB_Link
10,Elia Kazan,1909-09-07,Constantinople,Latin Empire,Best Director,27th Academy Awards,On the Waterfront,1954,https://www.nndb.com/people/537/000026459,https://www.imdb.com/name/nm0001415,https://en.wikipedia.org/wiki/Elia_Kazan,nm0001415,tt0047677,https://www.imdb.com/title/tt0047677/
11,Elia Kazan,1909-09-07,Constantinople,Latin Empire,Best Director,27th Academy Awards,On the Waterfront,1954,https://www.nndb.com/people/537/000026459,https://www.imdb.com/name/nm0001415,https://en.wikipedia.org/wiki/Elia_Kazan,nm0001415,tt0047677,https://www.imdb.com/title/tt0047677/
12,Elia Kazan,1909-09-07,Constantinople,Latin Empire,Best Director,27th Academy Awards,On the Waterfront,1954,https://www.nndb.com/people/537/000026459,https://www.imdb.com/name/nm0001415,https://en.wikipedia.org/wiki/Elia_Kazan,nm0001415,tt0047677,https://www.imdb.com/title/tt0047677/
13,Marlon Brando,1924-04-03,Omaha,United States of America,Best Actor,27th Academy Awards,On the Waterfront,1954,https://www.nndb.com/people/721/000022655,https://www.imdb.com/name/nm0000008,https://en.wikipedia.org/wiki/Marlon_Brando,nm0000008,tt0047677,https://www.imdb.com/title/tt0047677/
14,Marlon Brando,1924-04-03,Omaha,United States of America,Best Actor,27th Academy Awards,On the Waterfront,1954,https://www.nndb.com/people/721/000022655,https://www.imdb.com/name/nm0000008,https://en.wikipedia.org/wiki/Marlon_Brando,nm0000008,tt0047677,https://www.imdb.com/title/tt0047677/
15,Marlon Brando,1924-04-03,Omaha,United States of America,Best Actor,27th Academy Awards,On the Waterfront,1954,https://www.nndb.com/people/721/000022655,https://www.imdb.com/name/nm0000008,https://en.wikipedia.org/wiki/Marlon_Brando,nm0000008,tt0047677,https://www.imdb.com/title/tt0047677/
16,Marlon Brando,1924-04-03,Omaha,United States of America,Best Actor,27th Academy Awards,On the Waterfront,1954,https://www.nndb.com/people/721/000022655,https://www.imdb.com/name/nm0000008,https://en.wikipedia.org/wiki/Marlon_Brando,nm0000008,tt0047677,https://www.imdb.com/title/tt0047677/
17,Dianne Wiest,1948-03-28,Kansas City,United States of America,Best Supporting Actress,59th Academy Awards,Hannah and Her Sisters,1986,https://www.nndb.com/people/894/000024822,https://www.imdb.com/name/nm0001848,https://en.wikipedia.org/wiki/Dianne_Wiest,nm0001848,tt0091167,https://www.imdb.com/title/tt0091167/
18,Dianne Wiest,1948-03-28,Kansas City,United States of America,Best Supporting Actress,59th Academy Awards,Hannah and Her Sisters,1986,https://www.nndb.com/people/894/000024822,https://www.imdb.com/name/nm0001848,https://en.wikipedia.org/wiki/Dianne_Wiest,nm0001848,tt0091167,https://www.imdb.com/title/tt0091167/
19,Michael Caine,1933-03-14,Rotherhithe,United Kingdom,Best Supporting Actor,59th Academy Awards,Hannah and Her Sisters,1986,https://www.nndb.com/people/754/000022688,https://www.imdb.com/name/nm0000323,https://en.wikipedia.org/wiki/Michael_Caine,nm0000323,tt0091167,https://www.imdb.com/title/tt0091167/
20,Michael Caine,1933-03-14,Rotherhithe,United Kingdom,Best Supporting Actor,59th Academy Awards,Hannah and Her Sisters,1986,https://www.nndb.com/people/754/000022688,https://www.imdb.com/name/nm0000323,https://en.wikipedia.org/wiki/Michael_Caine,nm0000323,tt0091167,https://www.imdb.com/title/tt0091167/
21,Dorothy Malone,1924-01-30,Chicago,United States of America,Best Supporting Actress,29th Academy Awards,Written on the Wind,1957,https://www.nndb.com/people/090/000063898,https://www.imdb.com/name/nm0540416,https://en.wikipedia.org/wiki/Dorothy_Malone,nm0540416,tt0049966,https://www.imdb.com/title/tt0049966/
22,Dorothy Malone,1924-01-30,Chicago,United States of America,Best Supporting Actress,29th Academy Awards,Written on the Wind,1957,https://www.nndb.com/people/090/000063898,https://www.imdb.com/name/nm0540416,https://en.wikipedia.org/wiki/Dorothy_Malone,nm0540416,tt0049966,https://www.imdb.com/title/tt0049966/
23,Dorothy Malone,1924-01-29,Chicago,United States of America,Best Supporting Actress,29th Academy Awards,Written on the Wind,1957,https://www.nndb.com/people/090/000063898,https://www.imdb.com/name/nm0540416,https://en.wikipedia.org/wiki/Dorothy_Malone,nm0540416,tt0049966,https://www.imdb.com/title/tt0049966/
24,Dorothy Malone,1924-01-29,Chicago,United States of America,Best Supporting Actress,29th Academy Awards,Written on the Wind,1957,https://www.nndb.com/people/090/000063898,https://www.imdb.com/name/nm0540416,https://en.wikipedia.org/wiki/Dorothy_Malone,nm0540416,tt0049966,https://www.imdb.com/title/tt0049966/
25,Grace Kelly,1929-11-12,Philadelphia,United States of America,Best Actress,27th Academy Awards,The Country Girl,1954,https://www.nndb.com/people/770/000025695,https://www.imdb.com/name/nm0000038,https://en.wikipedia.org/wiki/Grace_Kelly,nm0000038,tt0046874,https://www.imdb.com/title/tt0046874/
26,Jack Lemmon,1925-02-08,Newton,United States of America,Best Supporting Actor,28th Academy Awards,Mister Roberts,1955,https://www.nndb.com/people/714/000026636,https://www.imdb.com/name/nm0000493,https://en.wikipedia.org/wiki/Jack_Lemmon,nm0000493,tt0048380,https://www.imdb.com/title/tt0048380/
27,George Kennedy,1925-02-18,New York City,United States of America,Best Supporting Actor,40th Academy Awards,Cool Hand Luke,1968,https://www.nndb.com/people/001/000022932,https://www.imdb.com/name/nm0001421,https://en.wikipedia.org/wiki/George_Kennedy,nm0001421,tt0061512,https://www.imdb.com/title/tt0061512/
28,Melvyn Douglas,1901-04-05,Macon,United States of America,Best Supporting Actor,36th Academy Awards,Hud,1963,https://www.nndb.com/people/100/000063908,https://www.imdb.com/name/nm0002048,https://en.wikipedia.org/wiki/Melvyn_Douglas,nm0002048,tt0057163,https://www.imdb.com/title/tt0057163/
29,Burl Ives,1909-06-14,Jasper County,United States of America,Best Supporting Actor,31st Academy Awards,The Big Country,1958,https://www.nndb.com/people/679/000042553,https://www.imdb.com/name/nm0412322,https://en.wikipedia.org/wiki/Burl_Ives,nm0412322,tt0051411,https://www.imdb.com/title/tt0051411/
30,Ralph Dawson,1897-04-18,Westborough,United States of America,Best Film Editing,9th Academy Awards,Anthony Adverse,1936,,https://www.imdb.com/name/nm0206238,https://en.wikipedia.org/wiki/Ralph_Dawson,nm0206238,tt0027300,https://www.imdb.com/title/tt0027300/
31,Carolyn Scott,2000-01-01,,,Best Production Design,67th Academy Awards,The Madness of King George,1994,,https://www.imdb.com/name/nm0778942,https://en.wikipedia.org/wiki/Carolyn_Scott,nm0778942,tt0110428,https://www.imdb.com/title/tt0110428/
32,Emile Kuri,1907-06-11,Cuernavaca,Mexico,"Best Art Direction, Color",27th Academy Awards,"20,000 Leagues Under the Sea",1955,,https://www.imdb.com/name/nm0475689,https://en.wikipedia.org/wiki/Emile_Kuri,nm0475689,tt0046672,https://www.imdb.com/title/tt0046672/
33,Emile Kuri,1907-06-11,Cuernavaca,Mexico,"Best Art Direction, Color",27th Academy Awards,"20,000 Leagues Under the Sea",1955,,https://www.imdb.com/name/nm0475689,https://en.wikipedia.org/wiki/Emile_Kuri,nm0475689,tt0046672,https://www.imdb.com/title/tt0046672/
34,John Meehan,1902-06-13,Tehachapi,United States of America,"Best Art Direction, Color",27th Academy Awards,"20,000 Leagues Under the Sea",1955,,https://www.imdb.com/name/nm0576048,https://en.wikipedia.org/wiki/John_Meehan_(art_director),nm0576048,tt0046672,https://www.imdb.com/title/tt0046672/
35,John Meehan,1902-06-13,Tehachapi,United States of America,"Best Art Direction, Color",27th Academy Awards,"20,000 Leagues Under the Sea",1955,,https://www.imdb.com/name/nm0576048,https://en.wikipedia.org/wiki/John_Meehan_(art_director),nm0576048,tt0046672,https://www.imdb.com/title/tt0046672/
36,Angus Wall,1967-03-15,,,Best Film Editing,83rd Academy Awards,The Social Network,2010,,https://www.imdb.com/name/nm0908370,https://en.wikipedia.org/wiki/Angus_Wall,nm0908370,tt1285016,https://www.imdb.com/title/tt1285016/
37,Adrien Brody,1973-04-14,Woodhaven,United States of America,Best Actor,75th Academy Awards,The Pianist,2002,https://www.nndb.com/people/112/000026034,https://www.imdb.com/name/nm0004778,https://en.wikipedia.org/wiki/Adrien_Brody,nm0004778,tt0254686,https://www.imdb.com/title/tt0254686/
38,Adrien Brody,1973-04-14,Woodhaven,United States of America,Best Actor,75th Academy Awards,The Pianist,2002,https://www.nndb.com/people/112/000026034,https://www.imdb.com/name/nm0004778,https://en.wikipedia.org/wiki/Adrien_Brody,nm0004778,tt0254686,https://www.imdb.com/title/tt0254686/
39,Roman Polanski,1933-08-18,Paris,France,Best Director,75th Academy Awards,The Pianist,2002,https://www.nndb.com/people/541/000023472,https://www.imdb.com/name/nm0000591,https://en.wikipedia.org/wiki/Roman_Polanski,nm0000591,tt0254686,https://www.imdb.com/title/tt0254686/
40,Roman Polanski,1933-08-18,Paris,France,Best Director,75th Academy Awards,The Pianist,2002,https://www.nndb.com/people/541/000023472,https://www.imdb.com/name/nm0000591,https://en.wikipedia.org/wiki/Roman_Polanski,nm0000591,tt0254686,https://www.imdb.com/title/tt0254686/
41,Michel Gondry,1963-05-08,Versailles,France,"Best Writing, Original Screenplay",77th Academy Awards,Eternal Sunshine of the Spotless Mind,2004,https://www.nndb.com/people/801/000029714,https://www.imdb.com/name/nm0327273,https://en.wikipedia.org/wiki/Michel_Gondry,nm0327273,tt0338013,https://www.imdb.com/title/tt0338013/
42,James Dunn,1901-11-02,New York City,United States of America,Best Supporting Actor,18th Academy Awards,A Tree Grows in Brooklyn,1945,https://www.nndb.com/people/125/000063933,https://www.imdb.com/name/nm0007223,https://en.wikipedia.org/wiki/James_Dunn_(actor),nm0007223,tt0038190,https://www.imdb.com/title/tt0038190/
43,André Previn,1929-04-06,Berlin,Germany,Best Original Musical Score,32nd Academy Awards,Porgy and Bess,1960,https://www.nndb.com/people/299/000023230,https://www.imdb.com/name/nm0006238,https://en.wikipedia.org/wiki/Andr%C3%A9_Previn,nm0006238,tt0053182,https://www.imdb.com/title/tt0053182/
44,André Previn,1929-04-06,Berlin,Germany,"Best Score, Adaptation or Treatment",37th Academy Awards,My Fair Lady,1965,https://www.nndb.com/people/299/000023230,https://www.imdb.com/name/nm0006238,https://en.wikipedia.org/wiki/Andr%C3%A9_Previn,nm0006238,tt0058385,https://www.imdb.com/title/tt0058385/
45,Robert De Niro,1943-08-17,Greenwich Village,United States of America,Best Supporting Actor,47th Academy Awards,The Godfather Part II,1974,https://www.nndb.com/people/765/000023696,https://www.imdb.com/name/nm0000134,https://en.wikipedia.org/wiki/Robert_De_Niro,nm0000134,tt0068646,https://www.imdb.com/title/tt0068646/
46,Robert De Niro,1943-08-17,Greenwich Village,United States of America,Best Supporting Actor,47th Academy Awards,The Godfather Part II,1974,https://www.nndb.com/people/765/000023696,https://www.imdb.com/name/nm0000134,https://en.wikipedia.org/wiki/Robert_De_Niro,nm0000134,tt0068646,https://www.imdb.com/title/tt0068646/
47,Robert De Niro,1943-08-17,Greenwich Village,United States of America,Best Supporting Actor,47th Academy Awards,The Godfather Part II,1974,https://www.nndb.com/people/765/000023696,https://www.imdb.com/name/nm0000134,https://en.wikipedia.org/wiki/Robert_De_Niro,nm0000134,tt0068646,https://www.imdb.com/title/tt0068646/
48,Robert De Niro,1943-08-17,Greenwich Village,United States of America,Best Supporting Actor,47th Academy Awards,The Godfather Part II,1974,https://www.nndb.com/people/765/000023696,https://www.imdb.com/name/nm0000134,https://en.wikipedia.org/wiki/Robert_De_Niro,nm0000134,tt0068646,https://www.imdb.com/title/tt0068646/
49,Francis Ford Coppola,1939-04-07,Detroit,United States of America,Best Director,47th Academy Awards,The Godfather Part II,1974,https://www.nndb.com/people/866/000022800,https://www.imdb.com/name/nm0000338,https://en.wikipedia.org/wiki/Francis_Ford_Coppola,nm0000338,tt0068646,https://www.imdb.com/title/tt0068646/
50,Francis Ford Coppola,1939-04-07,Detroit,United States of America,Best Director,47th Academy Awards,The Godfather Part II,1974,https://www.nndb.com/people/866/000022800,https://www.imdb.com/name/nm0000338,https://en.wikipedia.org/wiki/Francis_Ford_Coppola,nm0000338,tt0068646,https://www.imdb.com/title/tt0068646/
51,Francis Ford Coppola,1939-04-07,Detroit,United States of America,Best Director,47th Academy Awards,The Godfather Part II,1974,https://www.nndb.com/people/866/000022800,https://www.imdb.com/name/nm0000338,https://en.wikipedia.org/wiki/Francis_Ford_Coppola,nm0000338,tt0068646,https://www.imdb.com/title/tt0068646/
52,Francis Ford Coppola,1939-04-07,Detroit,United States of America,Best Director,47th Academy Awards,The Godfather Part II,1974,https://www.nndb.com/people/866/000022800,https://www.imdb.com/name/nm0000338,https://en.wikipedia.org/wiki/Francis_Ford_Coppola,nm0000338,tt0068646,https://www.imdb.com/title/tt0068646/
53,Francis Ford Coppola,1939-04-07,Detroit,United States of America,Best Picture,47th Academy Awards,The Godfather Part II,1974,https://www.nndb.com/people/866/000022800,https://www.imdb.com/name/nm0000338,https://en.wikipedia.org/wiki/Francis_Ford_Coppola,nm0000338,tt0068646,https://www.imdb.com/title/tt0068646/
54,Francis Ford Coppola,1939-04-07,Detroit,United States of America,Best Picture,47th Academy Awards,The Godfather Part II,1974,https://www.nndb.com/people/866/000022800,https://www.imdb.com/name/nm0000338,https://en.wikipedia.org/wiki/Francis_Ford_Coppola,nm0000338,tt0068646,https://www.imdb.com/title/tt0068646/
55,Francis Ford Coppola,1939-04-07,Detroit,United States of America,Best Picture,47th Academy Awards,The Godfather Part II,1974,https://www.nndb.com/people/866/000022800,https://www.imdb.com/name/nm0000338,https://en.wikipedia.org/wiki/Francis_Ford_Coppola,nm0000338,tt0068646,https://www.imdb.com/title/tt0068646/
56,Francis Ford Coppola,1939-04-07,Detroit,United States of America,Best Picture,47th Academy Awards,The Godfather Part II,1974,https://www.nndb.com/people/866/000022800,https://www.imdb.com/name/nm0000338,https://en.wikipedia.org/wiki/Francis_Ford_Coppola,nm0000338,tt0068646,https://www.imdb.com/title/tt0068646/
57,Francis Ford Coppola,1939-04-07,Detroit,United States of America,"Best Writing, Adapted Screenplay",47th Academy Awards,The Godfather Part II,1974,https://www.nndb.com/people/866/000022800,https://www.imdb.com/name/nm0000338,https://en.wikipedia.org/wiki/Francis_Ford_Coppola,nm0000338,tt0068646,https://www.imdb.com/title/tt0068646/
58,Francis Ford Coppola,1939-04-07,Detroit,United States of America,"Best Writing, Adapted Screenplay",47th Academy Awards,The Godfather Part II,1974,https://www.nndb.com/people/866/000022800,https://www.imdb.com/name/nm0000338,https://en.wikipedia.org/wiki/Francis_Ford_Coppola,nm0000338,tt0068646,https://www.imdb.com/title/tt0068646/
59,Francis Ford Coppola,1939-04-07,Detroit,United States of America,"Best Writing, Adapted Screenplay",47th Academy Awards,The Godfather Part II,1974,https://www.nndb.com/people/866/000022800,https://www.imdb.com/name/nm0000338,https://en.wikipedia.org/wiki/Francis_Ford_Coppola,nm0000338,tt0068646,https://www.imdb.com/title/tt0068646/
60,Francis Ford Coppola,1939-04-07,Detroit,United States of America,"Best Writing, Adapted Screenplay",47th Academy Awards,The Godfather Part II,1974,https://www.nndb.com/people/866/000022800,https://www.imdb.com/name/nm0000338,https://en.wikipedia.org/wiki/Francis_Ford_Coppola,nm0000338,tt0068646,https://www.imdb.com/title/tt0068646/
61,Javier Bardem,1969-03-01,Las Palmas de Gran Canaria,Spain,Best Supporting Actor,80th Academy Awards,No Country for Old Men,2007,https://www.nndb.com/people/733/000109406,https://www.imdb.com/name/nm0000849,https://en.wikipedia.org/wiki/Javier_Bardem,nm0000849,tt0477348,https://www.imdb.com/title/tt0477348/
62,Javier Bardem,1969-03-01,Las Palmas de Gran Canaria,Spain,Best Supporting Actor,80th Academy Awards,No Country for Old Men,2007,https://www.nndb.com/people/733/000109406,https://www.imdb.com/name/nm0000849,https://en.wikipedia.org/wiki/Javier_Bardem,nm0000849,tt0477348,https://www.imdb.com/title/tt0477348/
63,Javier Bardem,1969-05-01,Las Palmas de Gran Canaria,Spain,Best Supporting Actor,80th Academy Awards,No Country for Old Men,2007,https://www.nndb.com/people/733/000109406,https://www.imdb.com/name/nm0000849,https://en.wikipedia.org/wiki/Javier_Bardem,nm0000849,tt0477348,https://www.imdb.com/title/tt0477348/
64,Javier Bardem,1969-05-01,Las Palmas de Gran Canaria,Spain,Best Supporting Actor,80th Academy Awards,No Country for Old Men,2007,https://www.nndb.com/people/733/000109406,https://www.imdb.com/name/nm0000849,https://en.wikipedia.org/wiki/Javier_Bardem,nm0000849,tt0477348,https://www.imdb.com/title/tt0477348/
65,Jonathan Demme,1944-02-22,Baldwin,United States of America,Best Director,64th Academy Awards,The Silence of the Lambs,1991,https://www.nndb.com/people/578/000024506,https://www.imdb.com/name/nm0001129,https://en.wikipedia.org/wiki/Jonathan_Demme,nm0001129,tt0102926,https://www.imdb.com/title/tt0102926/
66,Jonathan Demme,1944-02-22,Baldwin,United States of America,Best Director,64th Academy Awards,The Silence of the Lambs,1991,https://www.nndb.com/people/578/000024506,https://www.imdb.com/name/nm0001129,https://en.wikipedia.org/wiki/Jonathan_Demme,nm0001129,tt0102926,https://www.imdb.com/title/tt0102926/
67,Jodie Foster,1962-11-19,Los Angeles,United States of America,Best Actress,64th Academy Awards,The Silence of the Lambs,1991,https://www.nndb.com/people/756/000023687,https://www.imdb.com/name/nm0000149,https://en.wikipedia.org/wiki/Jodie_Foster,nm0000149,tt0102926,https://www.imdb.com/title/tt0102926/
68,Jodie Foster,1962-11-19,Los Angeles,United States of America,Best Actress,64th Academy Awards,The Silence of the Lambs,1991,https://www.nndb.com/people/756/000023687,https://www.imdb.com/name/nm0000149,https://en.wikipedia.org/wiki/Jodie_Foster,nm0000149,tt0102926,https://www.imdb.com/title/tt0102926/
69,Emeric Pressburger,1902-12-05,Miskolc,Hungary,Best Story,15th Academy Awards,49th Parallel,1942,https://www.nndb.com/people/322/000078088,https://www.imdb.com/name/nm0696247,https://en.wikipedia.org/wiki/Emeric_Pressburger,nm0696247,tt0033627,https://www.imdb.com/title/tt0033627/
70,Peter Ustinov,1921-04-16,London Borough of Camden,United Kingdom,Best Supporting Actor,37th Academy Awards,Topkapi,1964,https://www.nndb.com/people/810/000022744,https://www.imdb.com/name/nm0001811,https://en.wikipedia.org/wiki/Peter_Ustinov,nm0001811,tt0058672,https://www.imdb.com/title/tt0058672/
71,Charles Guggenheim,1924-03-31,Cincinnati,United States of America,Best Documentary (Short Subject),67th Academy Awards,A Time for Justice,1994,,https://www.imdb.com/name/nm0346549,https://en.wikipedia.org/wiki/Charles_Guggenheim,nm0346549,tt0111436,https://www.imdb.com/title/tt0111436/
72,Kristóf Deák,1982-06-07,Budapest,Hungary,Best Live Action Short Film,89th Academy Awards,Sing,2017,,https://www.imdb.com/name/nm2038042,https://en.wikipedia.org/wiki/Krist%C3%B3f_De%C3%A1k,nm2038042,tt3470600,https://www.imdb.com/title/tt3470600/
73,Kristóf Deák,1982-06-07,Budapest,Hungary,Best Live Action Short Film,89th Academy Awards,Sing,2017,,https://www.imdb.com/name/nm2038042,https://en.wikipedia.org/wiki/Krist%C3%B3f_De%C3%A1k,nm2038042,tt3470600,https://www.imdb.com/title/tt3470600/
74,Anna Udvardy,1949-01-01,Budapest,Hungary,Best Live Action Short Film,89th Academy Awards,Sing,2017,,https://www.imdb.com/name/nm2686265,https://en.wikipedia.org/wiki/Anna_Udvardy,nm2686265,tt3470600,https://www.imdb.com/title/tt3470600/
75,Anna Udvardy,1949-01-01,Budapest,Hungary,Best Live Action Short Film,89th Academy Awards,Sing,2017,,https://www.imdb.com/name/nm2686265,https://en.wikipedia.org/wiki/Anna_Udvardy,nm2686265,tt3470600,https://www.imdb.com/title/tt3470600/
76,Anne Bancroft,1931-09-17,The Bronx,United States of America,Best Actress,35th Academy Awards,The Miracle Worker,1962,https://www.nndb.com/people/439/000023370,https://www.imdb.com/name/nm0000843,https://en.wikipedia.org/wiki/Anne_Bancroft,nm0000843,tt0056241,https://www.imdb.com/title/tt0056241/
77,Shelley Winters,1920-08-18,East St. Louis,United States of America,Best Supporting Actress,32nd Academy Awards,The Diary of Anne Frank,1959,https://www.nndb.com/people/859/000022793,https://www.imdb.com/name/nm0001859,https://en.wikipedia.org/wiki/Shelley_Winters,nm0001859,tt0052738,https://www.imdb.com/title/tt0052738/
78,Shelley Winters,1920-08-18,East St. Louis,United States of America,Best Supporting Actress,38th Academy Awards,A Patch of Blue,1965,https://www.nndb.com/people/859/000022793,https://www.imdb.com/name/nm0001859,https://en.wikipedia.org/wiki/Shelley_Winters,nm0001859,tt0059573,https://www.imdb.com/title/tt0059573/
79,Frances McDormand,1957-06-23,Gibson City,United States of America,Best Actress,90th Academy Awards,"Three Billboards Outside Ebbing, Missouri",2018,https://www.nndb.com/people/517/000025442,https://www.imdb.com/name/nm0000531,https://en.wikipedia.org/wiki/Frances_McDormand,nm0000531,tt5027774,https://www.imdb.com/title/tt5027774/
80,Frances McDormand,1957-06-23,Gibson City,United States of America,Best Actress,90th Academy Awards,"Three Billboards Outside Ebbing, Missouri",2018,https://www.nndb.com/people/517/000025442,https://www.imdb.com/name/nm0000531,https://en.wikipedia.org/wiki/Frances_McDormand,nm0000531,tt5027774,https://www.imdb.com/title/tt5027774/
81,Sam Rockwell,1968-11-05,Daly City,United States of America,Best Supporting Actor,90th Academy Awards,"Three Billboards Outside Ebbing, Missouri",2018,https://www.nndb.com/people/926/000108602,https://www.imdb.com/name/nm0005377,https://en.wikipedia.org/wiki/Sam_Rockwell,nm0005377,tt5027774,https://www.imdb.com/title/tt5027774/
82,Sam Rockwell,1968-11-05,Daly City,United States of America,Best Supporting Actor,90th Academy Awards,"Three Billboards Outside Ebbing, Missouri",2018,https://www.nndb.com/people/926/000108602,https://www.imdb.com/name/nm0005377,https://en.wikipedia.org/wiki/Sam_Rockwell,nm0005377,tt5027774,https://www.imdb.com/title/tt5027774/
83,William Saroyan,1908-08-31,Fresno,United States of America,Best Story,16th Academy Awards,The Human Comedy,1943,https://www.nndb.com/people/299/000046161,https://www.imdb.com/name/nm0765490,https://en.wikipedia.org/wiki/William_Saroyan,nm0765490,tt0036022,https://www.imdb.com/title/tt0036022/
84,Patricia Arquette,1968-04-08,Chicago,United States of America,Best Supporting Actress,87th Academy Awards,Boyhood,2015,https://www.nndb.com/people/207/000026129,https://www.imdb.com/name/nm0000099,https://en.wikipedia.org/wiki/Patricia_Arquette,nm0000099,tt1065073,https://www.imdb.com/title/tt1065073/
85,Francis Ford Coppola,1939-04-07,Detroit,United States of America,"Best Writing, Adapted Screenplay",45th Academy Awards,The Godfather,1972,https://www.nndb.com/people/866/000022800,https://www.imdb.com/name/nm0000338,https://en.wikipedia.org/wiki/Francis_Ford_Coppola,nm0000338,tt1113794,https://www.imdb.com/title/tt1113794/
86,Francis Ford Coppola,1939-04-07,Detroit,United States of America,"Best Writing, Adapted Screenplay",45th Academy Awards,The Godfather,1972,https://www.nndb.com/people/866/000022800,https://www.imdb.com/name/nm0000338,https://en.wikipedia.org/wiki/Francis_Ford_Coppola,nm0000338,tt1113794,https://www.imdb.com/title/tt1113794/
87,Marlon Brando,1924-04-03,Omaha,United States of America,Best Actor,45th Academy Awards,The Godfather,1972,https://www.nndb.com/people/721/000022655,https://www.imdb.com/name/nm0000008,https://en.wikipedia.org/wiki/Marlon_Brando,nm0000008,tt1113794,https://www.imdb.com/title/tt1113794/
88,Marlon Brando,1924-04-03,Omaha,United States of America,Best Actor,45th Academy Awards,The Godfather,1972,https://www.nndb.com/people/721/000022655,https://www.imdb.com/name/nm0000008,https://en.wikipedia.org/wiki/Marlon_Brando,nm0000008,tt1113794,https://www.imdb.com/title/tt1113794/
89,Robin Williams,1951-07-21,Chicago,United States of America,Best Supporting Actor,70th Academy Awards,mente indomable,1997,https://www.nndb.com/people/606/000022540,https://www.imdb.com/name/nm0000245,https://en.wikipedia.org/wiki/Robin_Williams,nm0000245,tt0119217,https://www.imdb.com/title/tt0119217/
90,Diane Keaton,1946-01-05,Los Angeles,United States of America,Best Actress,50th Academy Awards,Annie Hall,1977,https://www.nndb.com/people/879/000022813,https://www.imdb.com/name/nm0000473,https://en.wikipedia.org/wiki/Diane_Keaton,nm0000473,tt0075686,https://www.imdb.com/title/tt0075686/
91,Quentin Tarantino,1963-03-27,Knoxville,United States of America,"Best Writing, Original Screenplay",67th Academy Awards,Pulp Fiction,1994,https://www.nndb.com/people/664/000023595,https://www.imdb.com/name/nm0000233,https://en.wikipedia.org/wiki/Quentin_Tarantino,nm0000233,tt0110912,https://www.imdb.com/title/tt0110912/
