,title,oscar_num,year,producer,is_winner,budget,genres,id,imdb_id,overview,original_title,popularity,revenue,release_date,award_year
57,Brooklyn,88,2015,"Finola Dwyer and Amanda Posey, Producers",FALSE,11000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",167073,tt2381111,"In 1950s Ireland and New York, young Ellis Lacey has to choose between two men and two countries.",Brooklyn,7.991613,62076141,2015/10/20,2015/12/31
58,Bugsy,64,1991,"Mark Johnson, Barry Levinson and Warren Beatty, Producers",FALSE,30000000,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",10337,tt0101516,"New York gangster Ben 'Bugsy' Siegel takes a brief business trip to Los Angeles. A sharp-dressing womanizer with a foul temper, Siegel doesn't hesitate to kill or maim anyone crossing him. In L.A. the life, the movies, and most of all strong-willed Virginia Hill detain him while his family wait back home. Then a trip to a run-down gambling joint at a spot in the desert known as Las Vegas gives him his big idea.",Bugsy,5.516316,49114016,1991/12/10,1991/12/31
59,Butch Cassidy and the Sundance Kid,42,1969,"John Foreman, Producer",FALSE,6000000,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}, {'id': 80, 'name': 'Crime'}]",642,tt0064115,"In late 1890s Wyoming, Butch Cassidy is the affable, clever and talkative leader of the outlaw Hole in the Wall Gang. His closest companion is the laconic dead-shot 'Sundance Kid'. As the west rapidly becomes civilized, the law finally catches up to Butch, Sundance and their gang.  Chased doggedly by a special posse, the two decide to make their way to South America in hopes of evading their pursuers once and for all.",Butch Cassidy and the Sundance Kid,6.714577,102308889,1969/9/23,1969/12/31
60,Cabaret,45,1972,"Cy Feuer, Producer",FALSE,6000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",10784,tt0068327,"Inside the Kit Kat Club of 1931 Berlin, starry-eyed singer Sally Bowles and an impish emcee sound the clarion call to decadent fun, while outside a certain political party grows into a brutal force.",Cabaret,10.82887,0,1972/2/13,1972/12/31
61,Call Me by Your Name,90,2017,"Peter Spears, Luca Guadagnino, Emilie Georges and Marco Morabito, Producers",FALSE,4696772,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",398818,tt5726616,"Elio Perlman is spending the summer with his family at their vacation home in Lombardy, Italy. When his father hires a handsome doctoral student, the curious 17-year-old finds himself developing a growing attraction to the young man.",Call Me by Your Name,4.300874,0,2017/10/27,2017/12/31
62,Capote,78,2005,"Caroline Baron, William Vince and Michael Ohoven, Producers",FALSE,7000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",398,tt0379725,"A biopic of the writer, Truman Capote and his assignment for The New Yorker to write the non-fiction book, 'In Cold Blood'.",Capote,6.01272,49084830,2005/9/30,2005/12/31
63,Captain Phillips,86,2013,"Scott Rudin, Dana Brunetti and Michael De Luca, Producers",FALSE,55000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",109424,tt1535109,"The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the US-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.",Captain Phillips,13.776068,9.50E+07,2013/10/10,2013/12/31
64,Chariots of Fire,54,1981,"David Puttnam, Producer",TRUE,5500000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",9443,tt0082158,The true story of British athletes preparing for and competing in the 1924 Summer Olympics.,Chariots of Fire,6.877698,58972904,1981/5/15,1981/12/31
65,Chicago,75,2002,"Martin Richards, Producer",TRUE,45000000,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",1574,tt0299658,Murderesses Velma Kelly and Roxie Hart find themselves on death row together and fight for the fame that will keep them from the gallows in 1920s Chicago.,Chicago,13.325347,306776732,2002/12/26,2002/12/31
66,Children of a Lesser God,59,1986,"Burt Sugarman and Patrick Palmer, Producers",FALSE,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",1890,tt0090830,"James is a new speech teacher at a school for the deaf. He falls for Sarah, a pupil who decided to stay on at the school rather than venture into the big bad world. She shuns him at first, refusing to read his lips and only using signs. Will her feelings change over time?",Children of a Lesser God,8.503064,31853080,1986/9/13,1986/12/31
67,Chinatown,47,1974,"Robert Evans, Producer",FALSE,6000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",829,tt0071315,"Private eye Jake Gittes lives off the murky moral climate of sunbaked, pre-World War II Southern California. Hired by a beautiful socialite to investigate her husband's extra-marital affair, Gittes is swept into a maelstrom of double dealings and deadly deceits, uncovering a web of personal and political scandals that come crashing together.",Chinatown,12.29227,3.00E+07,1974/6/20,1974/12/31
68,Chocolat,73,2000,"David Brown, Kit Golden and Leslie Holleran, Producers",FALSE,25000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",392,tt0241303,"A fable of emotional liberation and chocolate. A mother and daughter move to a small French town where they open a chocolate shop. The town, religious and morally strict, is against them as they represent free-thinking and indulgence. When a group of Boat Gypsies float down the river the prejudices of the Mayor leads to a crisis.",Chocolat,8.9256,152500343,2000/12/14,2000/12/31
69,Chocolat,73,2000,"David Brown, Kit Golden and Leslie Holleran, Producers",FALSE,18500000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",369778,tt4400038,"The history of the clown Chocolate, the first black circus artist in France, which has a great success in the late 19th century.",Chocolat,8.079555,0,2016/2/3,2000/12/31
70,Cleopatra,36,1963,"Walter Wanger, Producer",FALSE,0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}, {'id': 10770, 'name': 'TV Movie'}]",64679,tt0178130,"Cleopatra, the famed Egyptian Queen born in 69 B.C., is shown to have been brought by Roman ruler Julius Caesar at age 18. Caesar becomes sexually obsessed by the 18 year old queen, beds her, and eventually has a son by her. However, his Roman followers and his wife are not pleased by the union. In fact, as Caesar has only a daughter by his wife, he had picked Octavian as his successor. The out-of-wedlock son of Cleopatra is seen to be a threat to his future leadership. Thus Brutus and other Roman legislators plot the assassination of Caesar. Caesar's loyal general, Marc Antony, and Octavian then divide up the Roman empire. Antony takes Egypt and soon takes up the affair with Cleopatra. However, Octavian soon launches an attack on Antony and ultimately defeats and mortally wounds him. Rather than permitting herself to be humiliated by Octavian, Cleopatra sends her son away to India and she commits suicide by permitting the deadly asp to bite her.",Cleopatra,1.37675,0,1999/5/23,1963/12/31
71,Cleopatra,36,1963,"Walter Wanger, Producer",FALSE,0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10769, 'name': 'Foreign'}]",71114,tt0346765,A retired teacher and a soap star leave their routines and the men in their lives behind and embark on a weekend trip.,Cleopatra,0.691817,0,2003/8/14,1963/12/31
72,Cleopatra,36,1963,"Walter Wanger, Producer",FALSE,31115000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]",8095,tt0056937,"Historical epic. The triumphs and tragedy of the Egyptian queen, Cleopatra.The winner of four Oscars, this epic saga of love, greed and betrayal stars Elizabeth Taylor as the passionate and ambitious Egyptian queen who's determined to hold on to the throne and seduces the Roman emperor Julius Caesar (Rex Harrison). When Caesar is murdered, she redirects her attentions to his general, Marc Antony (Richard Burton), who vows to take power -- but Caesar's successor (Roddy McDowall) has other plans.",Cleopatra,8.591238,7.10E+07,1963/6/12,1963/12/31
73,Coal Miner's Daughter,53,1980,"Bernard Schwartz, Producer",FALSE,15000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10402, 'name': 'Music'}]",16769,tt0080549,"Biography of Loretta Lynn, a country and western singer that came from poverty to fame.",Coal Miner's Daughter,2.847277,67182787,1980/3/7,1980/12/31
74,Coming Home,51,1978,"Jerome Hellman, Producer",FALSE,3000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]",31657,tt0077362,"The wife of a Marine serving in Vietnam, Sally Hyde (Jane Fonda) decides to volunteer at a local veterans hospital to occupy her time. There she meets Luke Martin (Jon Voight), a frustrated wheelchair-bound vet who has become disillusioned with the war. Sally and Luke develop a friendship that soon turns into a romance, but when her husband, Bob (Bruce Dern), returns unexpectedly, she must decide between staying with him and pursuing her new love.",Coming Home,3.176733,0,1978/2/15,1978/12/31
75,Coming Home,51,1978,"Jerome Hellman, Producer",FALSE,0,"[{'id': 18, 'name': 'Drama'}]",259943,tt3125472,Lu and Feng are a devoted couple forced to separate when Lu is arrested and sent to a labor camp as a political prisoner during the Cultural Revolution. He finally returns home only to find that his beloved wife no longer remembers him.,??????,5.262031,0,2014/5/16,1978/12/31
76,Coming Home,51,1978,"Jerome Hellman, Producer",FALSE,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",84911,tt0359679,Jochen's life is going well. He has just moved into a new house with his wife and child when suddenly his widowed father accidentally runs into a car and begins to lose his mind. The family take the old man in but tensions arise when the family has to grapple with the old father's worsening Alzheimer's condition.,Mein Vater,0.090448,0,2003/1/8,1978/12/31
77,Coming Home,51,1978,"Jerome Hellman, Producer",FALSE,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",139159,tt2194497,A young woman tries to adjust to freedom after she spends eight years as a prisoner to a strange man.,?€ moi seule,0.70833,0,2012/4/4,1978/12/31
78,Crash,78,2005,"Paul Haggis and Cathy Schulman, Producers",TRUE,6500000,"[{'id': 18, 'name': 'Drama'}]",1640,tt0375679,"Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption.",Crash,9.785147,98410061,2004/1/13,2005/12/31
79,Cries and Whispers,46,1973,"Ingmar Bergman, Producer",FALSE,0,"[{'id': 18, 'name': 'Drama'}]",10238,tt0069467,"When a woman dying of cancer in turn-of-the century Sweden is visited by her two sisters, long repressed feelings between the siblings rise to the surface.",Viskningar och rop,9.983092,0,1972/12/21,1973/12/31
80,"Crouching Tiger, Hidden Dragon",73,2000,"Bill Kong, Hsu Li Kong and Ang Lee, Producers",FALSE,17000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 28, 'name': 'Action'}, {'id': 10749, 'name': 'Romance'}]",146,tt0190332,"Two warriors in pursuit of a stolen sword and a notorious fugitive are led to an impetuous, physically-skilled, teenage nobleman's daughter, who is at a crossroads in her life.",????????????,19.944953,213525736,2000/10/1,2000/12/31
81,Dallas Buyers Club,86,2013,"Robbie Brenner and Rachel Winter, Producers",FALSE,5000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",152532,tt0790636,"Loosely based on the true-life tale of Ron Woodroof, a drug-taking, women-loving, homophobic man who in 1986 was diagnosed with HIV/AIDS and given thirty days to live.",Dallas Buyers Club,14.785719,55198285,2013/9/7,2013/12/31
82,Dangerous Liaisons,61,1988,"Norma Heyman and Hank Moonjean, Producers",FALSE,14000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",859,tt0094947,Dangerous Liaisons is the film based on the novel of the same name by Choderlos de Laclos set in 18th century France. Marquise de Merteuil?€?s asks her ex-lover Vicomte de Valmont to seduce the future wife of another ex-lover of hers in return for one last night with her. Yet things don?€?t go as planned in this love triangle drama.,Dangerous Liaisons,11.46781,34670720,1988/12/16,1988/12/31
83,Dangerous Liaisons,61,1988,"Norma Heyman and Hank Moonjean, Producers",FALSE,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",252063,tt0317875,"Updated adaptation of Choderlos de Laclos' classic 18th Century tale of seduction, betrayal and revenge set in the modern 1960s world of Parisian high society. The beautiful Madame de Merteuil seeks vengeance against her ex-lover Gercourt when he becomes engaged to her young goddaughter, C??cile. Merteuil turns to her ex-lover/partner-in-crime, Valmont, famous for his reputation as a Don Juan, to seduce C??cile and emotionally destroy her. While on his mission, Valmont gets sidetracked when he goes to visit his aunt and falls for Madame Tourvel, a virtuous, married woman who knows of his womanizing ways, but that only makes the challenge more exciting to Valmont. Together, Madame de Merteuil and Valmont make a dangerous team and they will stop at nothing when it comes to matters of the heart.",Les liaisons dangereuses,0.378049,0,2003/8/26,1988/12/31
84,Dangerous Liaisons,61,1988,"Norma Heyman and Hank Moonjean, Producers",FALSE,31000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",121602,tt2071441,Dangerous Liaisons is a Chinese film by Hur Jin-ho based on the novel with the same title by Pierre Choderlos de Laclos.,????????????,1.921426,0,2012/9/27,1988/12/31
85,Darling,38,1965,"Joseph Janni, Producer",FALSE,0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",352372,tt4126394,A young woman slowly goes crazy after taking a job as the caretaker for an ancient New York home.,Darling,2.503793,0,2015/9/24,1965/12/31
86,Darling,38,1965,"Joseph Janni, Producer",FALSE,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",63414,tt1649303,Prabhas (Prabhas) has a childhood sweetheart named Nandini (Kajal Agarwal) and they are separated during their childhood. Nandini migrates to Swiss along with her father. Meanwhile Prabhas rejects love proposals from other girls as his heart belongs to Nandini. Prabhas gets a chance to meet Nandini for the first time after the separation during the reunion of their respective parents who have studied together. The rest of the story is all about how Prabhas wins the love of Nandini.,???????????????????????????,2.023483,0,2010/4/23,1965/12/31
87,Darling,38,1965,"Joseph Janni, Producer",FALSE,0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",24134,tt0059084,A beautiful but amoral model sleeps her way to the top of the London fashion scene at the height of the Swinging Sixties.,Darling,1.79142,0,1965/8/3,1965/12/31
88,Darling,38,1965,"Joseph Janni, Producer",FALSE,0,"[{'id': 18, 'name': 'Drama'}]",25228,tt0875581,"Eva is beautiful, irresponsible, self-absorbed and emotionally disconnected. Her life is all about the right clothes, the right people and the right places. Her life is turned upside down when she loses her job and alienates her friends by cheating on her boyfriend. She soon finds herself among ""common"" people where she makes a surprising new acquaintance.",Darling,0.472319,0,2007/2/9,1965/12/31
89,Darling,38,1965,"Joseph Janni, Producer",FALSE,0,"[{'id': 18, 'name': 'Drama'}]",59346,tt0881233,"Darling is a woman of today. It seems to always choose the wrong path. Suffers but does not look like a victim. Do not feel sorry for herself. On the contrary, shows a passion for life against all odds. She is struggling to exist. If you fall, get up. Because Darling is naive and fearless, brave and instinctive. Has the life force of a tragic heroine.",Darling,0.48251,0,2007/11/7,1965/12/31
90,Dead Poets Society,62,1989,"Steven Haft, Paul Junger Witt and Tony Thomas, Producers",FALSE,16400000,"[{'id': 18, 'name': 'Drama'}]",207,tt0097165,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",Dead Poets Society,19.905716,235860116,1989/6/2,1989/12/31
91,Deliverance,45,1972,"John Boorman, Producer",FALSE,2000000,"[{'id': 18, 'name': 'Drama'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",10669,tt0068473,"Intent on seeing the Cahulawassee River before it's turned into one huge lake, outdoor fanatic Lewis Medlock takes his friends on a river-rafting trip they'll never forget into the dangerous American back-country.",Deliverance,8.476681,46122355,1972/7/30,1972/12/31
92,District 9,82,2009,"Peter Jackson and Carolynne Cunningham, Producers",FALSE,30000000,"[{'id': 878, 'name': 'Science Fiction'}]",17654,tt1136608,"Aliens land in South Africa and, with their ship totally disabled,  have no way home. Years later, after living in a slum and wearing out their welcome the 'Non-Humans' are being moved to a new tent city overseen by Multi-National United (MNU).",District 9,11.589835,210819611,2009/8/5,2009/12/31
93,Django Unchained,85,2012,"Stacey Sher, Reginald Hudlin and Pilar Savone, Producers",FALSE,100000000,"[{'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]",68718,tt1853728,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",Django Unchained,19.785025,425368238,2012/12/25,2012/12/31
94,Doctor Dolittle,40,1967,"Arthur P. Jacobs, Producer",FALSE,18000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",16081,tt0061584,"Get ready for the wildest adventure of a lifetime in the most ambitious production ever brought to film. Earning a 1967 Academy Award nomination for Best Picture, this dazzling fantasy turns both ordinary and exotic animals into talking, dancing and singing sensations! Rex Harrison is unforgettable in this inspiring adaptation of Hugh Lofting's classic stories.Step into the English country home of the good doctor as he performs remarkable treatments on the wildest variety of patients you could imagine. Discover his secret cures and watch with wide-eyed excitement as he and his four-legged, fine-feathered friends charm their way into your heart!",Doctor Dolittle,3.896319,9.00E+06,1967/12/19,1967/12/31
95,Doctor Dolittle,40,1967,"Arthur P. Jacobs, Producer",FALSE,71000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",3050,tt0118998,"A successful physician and devoted family man, John Dolittle (Eddie Murphy) seems to have the world by the tail, until a long suppressed talent he possessed as a child, the ability to communicate with animals is suddenly reawakened with a vengeance! Now every creature within squawking distance wants the good doctor's advice, unleashing an outrageous chain of events that turns his world upside down!",Doctor Dolittle,9.439079,294456605,1998/6/22,1967/12/31
96,Doctor Zhivago,38,1965,"Carlo Ponti, Producer",FALSE,11000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]",907,tt0059113,Doctor Zhivago is the filmed adapation of the Russian novel by Boris Pasternak from director David Lean that was an international success and today deemed a classic. Omar Sharif and Julie Christie play two protagonists who in fact love each other yet because of their current situation cannot find a way be together.,Doctor Zhivago,8.489499,111858363,1965/12/22,1965/12/31
97,Dog Day Afternoon,48,1975,"Martin Bregman and Martin Elfand, Producers",FALSE,1800000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",968,tt0072890,A man robs a bank to pay for his lover's operation; it turns into a hostage situation and a media circus.,Dog Day Afternoon,7.530126,46665856,1975/8/11,1975/12/31
98,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,37,1964,"Stanley Kubrick, Producer",FALSE,1800000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10752, 'name': 'War'}]",935,tt0057012,"Insane General Jack D. Ripper initiates a nuclear strike on the Soviet Union. As soon as the actions of General ""Buck"" Turgidson are discovered, a war room full of politicians, generals and a Russian diplomat all frantically try to stop the nuclear strike. Near the end is a scene that is probably the most uniquely unforgettable performance of Slim Pickens in his movie career. Peter Sellers plays multiple roles in this film.",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,9.80398,9440272,1964/1/29,1964/12/31
99,Driving Miss Daisy,62,1989,"Richard D. Zanuck and Lili Fini Zanuck, Producers",TRUE,7500000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",403,tt0097239,The story of an old Jewish widow named Daisy Werthan and her relationship with her colored chauffeur Hoke. From an initial mere work relationship grew in 25 years a strong friendship between the two very different characters in a time when those types of relationships where shunned upon. Oscar winning tragic comedy with a star-studded cast and based on a play of the same name by Alfred Uhry.,Driving Miss Daisy,10.703677,145793296,1989/12/13,1989/12/31
100,Dunkirk,90,2017,"Emma Thomas and Christopher Nolan, Producers",FALSE,100000000,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 53, 'name': 'Thriller'}, {'id': 10752, 'name': 'War'}]",374720,tt5013056,"The miraculous evacuation of Allied soldiers from Belgium, Britain, Canada and France, who were cut off and surrounded by the German army from the beaches and harbor of Dunkirk, France, between May 26th and June 4th 1940, during the Battle of France in World War II.",Dunkirk,30.938854,519876949,2017/7/19,2017/12/31
101,Elizabeth,71,1998,"Alison Owen, Eric Fellner and Tim Bevan, Producers",FALSE,30000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",4518,tt0127536,"The story of the ascension to the throne and the early reign of Queen Elizabeth the First, the endless attempts by her council to marry her off, the Catholic hatred of her and her romance with Lord Robert Dudley.",Elizabeth,7.566321,82150642,1998/9/13,1998/12/31
102,Erin Brockovich,73,2000,"Danny DeVito, Michael Shamberg and Stacey Sher, Producers",FALSE,52000000,"[{'id': 18, 'name': 'Drama'}]",462,tt0195685,"A twice-divorced mother of three who sees an injustice, takes on the bad guy and wins -- with a little help from her push-up bra. Erin goes to work for an attorney and comes across medical records describing illnesses clustered in one nearby town. She starts investigating and soon exposes a monumental cover-up.",Erin Brockovich,10.135446,256271286,2000/3/17,2000/12/31
103,Extremely Loud & Incredibly Close,84,2011,"Scott Rudin, Producer",FALSE,40000000,"[{'id': 18, 'name': 'Drama'}]",64685,tt0477302,"A year after his father's death, Oskar, a troubled young boy, discovers a mysterious key he believes was left for him by his father and embarks on a scavenger hunt to find the matching lock.",Extremely Loud & Incredibly Close,7.82605,55247881,2011/12/24,2011/12/31
104,Fargo,69,1996,"Ethan Coen, Producer",FALSE,7000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",275,tt0116282,"Jerry, a small-town Minnesota car salesman is bursting at the seams with debt... but he's got a plan. He's going to hire two thugs to kidnap his wife in a scheme to collect a hefty ransom from his wealthy father-in-law. It's going to be a snap and nobody's going to get hurt... until people start dying. Enter Police Chief Marge, a coffee-drinking, parka-wearing - and extremely pregnant - investigator who'll stop at nothing to get her man. And if you think her small-time investigative skills will give the crooks a run for their ransom... you betcha!",Fargo,12.61469,60611975,1996/4/5,1996/12/31
105,Fatal Attraction,60,1987,"Stanley R. Jaffe and Sherry Lansing, Producers",FALSE,14000000,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]",10998,tt0093010,A married man's one night stand comes back to haunt him when that lover begins to stalk him and his family.,Fatal Attraction,14.260779,320145693,1987/9/11,1987/12/31
106,Fences,89,2016,"Scott Rudin, Denzel Washington and Todd Black, Producers",FALSE,24000000,"[{'id': 18, 'name': 'Drama'}]",393457,tt2671706,"In 1950s Pittsburgh, a frustrated African-American father struggles with the constraints of poverty, racism, and his own inner demons as he tries to raise a family.",Fences,11.599716,64414761,2016/12/16,2016/12/31
107,Fiddler on the Roof,44,1971,"Norman Jewison, Producer",FALSE,9000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",14811,tt0067093,"This lavishly produced and critically acclaimed screen adaptation of the international stage sensation tells the life-affirming story of Tevye (Topol), a poor milkman whose love, pride and faith help him face the oppression of turn-of-the-century Czarist Russia. Nominated for eight Academy Awards.",Fiddler on the Roof,9.227244,83304330,1971/11/3,1971/12/31
108,Field of Dreams,62,1989,"Lawrence Gordon and Charles Gordon, Producers",FALSE,0,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]",2323,tt0097351,"Ray Kinsella is an Iowa farmer who hears a mysterious voice telling him to turn his cornfield into a baseball diamond. He does, but the voice's directions don't stop -- even after the spirits of deceased ballplayers turn up to play.",Field of Dreams,16.759454,84431625,1989/4/21,1989/12/31
109,Finding Neverland,77,2004,"Richard N. Gladstein and Nellie Bellflower, Producers",FALSE,25000000,"[{'id': 18, 'name': 'Drama'}]",866,tt0308644,Finding Neverland is an amusing drama about how the story of Peter Pan and Neverland came to be. During a writing slump play writer J.M. Barrie meets the widowed Sylvia and her three children who soon become an important part of Barrie?€?s life and the inspiration that lead him to create his masterpiece ?€?Peter Pan.?€?,Finding Neverland,15.529604,116766556,2004/10/17,2004/12/31
110,Five Easy Pieces,43,1970,"Bob Rafelson and Richard Wechsler, Producers",FALSE,0,"[{'id': 18, 'name': 'Drama'}]",26617,tt0065724,"A drop-out from upper-class America picks up work along the way on oil-rigs when his life isn't spent in a squalid succession of bars, motels, and other points of interest.",Five Easy Pieces,9.721297,0,1970/9/12,1970/12/31
111,Forrest Gump,67,1994,"Wendy Finerman, Steve Tisch and Steve Starkey, Producers",TRUE,55000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",13,tt0109830,"A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.",Forrest Gump,48.307194,677945399,1994/7/6,1994/12/31
112,Four Weddings and a Funeral,67,1994,"Duncan Kenworthy, Producer",FALSE,6000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",712,tt0109831,Four Weddings And A Funeral is a British comedy about a British Man named Charles and an American Woman named Carrie who go through numerous weddings before they determine if they are right for one another.,Four Weddings and a Funeral,8.990345,254700832,1994/3/9,1994/12/31
113,Frost/Nixon,81,2008,"Brian Grazer, Ron Howard and Eric Fellner, Producers",FALSE,0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",11499,tt0870111,"For three years after being forced from office, Nixon remained silent. But in summer 1977, the steely, cunning former commander-in-chief agreed to sit for one all-inclusive interview to confront the questions of his time in office and the Watergate scandal that ended his presidency. Nixon surprised everyone in selecting Frost as his televised confessor, intending to easily outfox the breezy British showman and secure a place in the hearts and minds of Americans. Likewise, Frost's team harboured doubts about their boss's ability to hold his own. But as the cameras rolled, a charged battle of wits resulted.",Frost/Nixon,11.641771,0,2008/10/15,2008/12/31
114,Funny Girl,41,1968,"Ray Stark, Producer",FALSE,14000000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10402, 'name': 'Music'}, {'id': 10749, 'name': 'Romance'}]",16085,tt0062994,"The life of comedienne Fannie Brice, from her early days in the Jewish slums of the Lower East Side, to the height of her career with the Ziegfeld Follies, including her marriage to and eventual divorce from her first husband, Nick Arnstein.",Funny Girl,4.651946,52223306,1968/9/19,1968/12/31
115,Gandhi,55,1982,"Richard Attenborough, Producer",TRUE,22000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",783,tt0083987,"In the early years of the 20th century, Mohandas K. Gandhi, a British-trained lawyer, forsakes all worldly possessions to take up the cause of Indian independence. Faced with armed resistance from the British government, Gandhi adopts a policy of 'passive resistance', endeavouring to win freedom for his people without resorting to bloodshed.",Gandhi,12.383755,77737889,1982/11/30,1982/12/31
116,Gangs of New York,75,2002,"Alberto Grimaldi and Harvey Weinstein, Producers",FALSE,100000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 80, 'name': 'Crime'}]",3131,tt0217505,"It's 1863. America was born in the streets. Amsterdam Vallon returns to the Five Points of America to seek vengeance against the psychotic gangland kingpin, Bill the Butcher, who murdered his father years earlier. With an eager pickpocket by his side and a whole new army, Vallon fights his way to seek vengeance on the Butcher and restore peace in the area.",Gangs of New York,14.922399,193772504,2002/12/14,2002/12/31
