,title,oscar_num,year,producer,is_winner,budget,genres,id,imdb_id,overview,original_title,popularity,revenue,release_date,award_year
17,All the President's Men,49,1976,"Walter Coblenz, Producer",FALSE,8500000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]",891,tt0074119,"In the run-up to the 1972 elections, Washington Post reporter Bob Woodward covers what seems to be a minor break-in at the Democratic Party National headquarters. He is surprised to find top lawyers already on the defense case, and the discovery of names and addresses of Republican fund organizers on the accused further arouses his suspicions. The editor of the Post is prepared to run with the story and assigns Woodward and Carl Bernstein to it. They find the trail leading higher and higher in the Republican Party, and eventually into the White House itself.",All the President's Men,12.421754,70600000,1976/4/4,1976/12/31
18,Amadeus,57,1984,"Saul Zaentz, Producer",TRUE,18000000,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10402, 'name': 'Music'}]",279,tt0086879,"The incredible story of genius musician Wolfgang Amadeus Mozart, told in flashback by his peer and secret rival Antonio Salieri ?€? now confined to an insane asylum.",Amadeus,12.677592,51973029,1984/10/26,1984/12/31
19,America America,36,1963,"Elia Kazan, Producer",FALSE,0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]",47249,tt0056825,"A young Anatolian Greek, entrusted with his family's fortune, loses it en route to Istanbul and dreams of going to America",America America,1.099317,0,1963/12/15,1963/12/31
20,American Beauty,72,1999,"Bruce Cohen and Dan Jinks, Producers",TRUE,15000000,"[{'id': 18, 'name': 'Drama'}]",14,tt0169547,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",American Beauty,20.726578,356296601,1999/9/15,1999/12/31
21,American Graffiti,46,1973,"Francis Ford Coppola, Producer; Gary Kurtz, Co-Producer",FALSE,777000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",838,tt0069704,A couple of high school graduates spend one final night cruising the strip with their buddies before they go off to college.,American Graffiti,9.188584,1.40E+08,1973/8/1,1973/12/31
22,American Hustle,86,2013,"Charles Roven, Richard Suckle, Megan Ellison and Jonathan Gordon, Producers",FALSE,40000000,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",168672,tt1800241,"A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild FBI agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and mafia.",American Hustle,16.478036,251171807,2013/12/12,2013/12/31
23,American Sniper,87,2014,"Clint Eastwood, Robert Lorenz, Andrew Lazar, Bradley Cooper and Peter Morgan, Producers",FALSE,58800000,"[{'id': 10752, 'name': 'War'}, {'id': 28, 'name': 'Action'}]",190859,tt2179136,"U.S. Navy SEAL Chris Kyle takes his sole mission?€?protect his comrades?€?to heart and becomes one of the most lethal snipers in American history. His pinpoint accuracy not only saves countless lives but also makes him a prime target of insurgents. Despite grave danger and his struggle to be a good husband and father to his family back in the States, Kyle serves four tours of duty in Iraq. However, when he finally returns home, he finds that he cannot leave the war behind.",American Sniper,19.228561,542307423,2014/12/11,2014/12/31
24,Amour,85,2012,"Margaret Menegoz, Stefan Arndt, Veit Heiduschka and Michael Katz, Producers",FALSE,8900000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",86837,tt1602620,"Georges and Anne are in their eighties. They are cultivated, retired music teachers. Their daughter, who is also a musician, lives abroad with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested.",Amour,7.663947,29844753,2012/7/1,2012/12/31
25,An Education,82,2009,"Finola Dwyer and Amanda Posey, Producers",FALSE,7500000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",24684,tt1174732,"A coming-of-age story about a teenage girl in 1960s suburban London, and how her life changes with the arrival of a playboy nearly twice her age.",An Education,8.593196,26096852,2009/10/29,2009/12/31
26,An Unmarried Woman,51,1978,"Paul Mazursky and Tony Ray, Producers",FALSE,2515000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]",38731,tt0078444,A wealthy woman from Manhattan's Upper East Side struggles to deal with her new identity and her sexuality after her husband of 16 years leaves her for a younger woman.,An Unmarried Woman,1.148295,2.40E+07,1978/5/26,1978/12/31
