,Name,Movie,Edition,Year of award,Award,Win?,bioID,movieID,movieLink,bioLink,tconst,averageRating,numVotes
11,Karl Struss,Sunrise,1,1928,Cinematography,False,nm0835365,tt0018455,https://www.imdb.com/title/tt0018455/,https://www.imdb.com/name/nm0835365/,tt0018455,8.1,44802
12,Gloria Swanson,Sadie Thompson,1,1928,LeadingActress,False,nm0841797,tt0019344,https://www.imdb.com/title/tt0019344/,https://www.imdb.com/name/nm0841797/,tt0019344,7.2,2438
13,George Barnes,Sadie Thompson,1,1928,Cinematography,False,nm0055604,tt0019344,https://www.imdb.com/title/tt0019344/,https://www.imdb.com/name/nm0055604/,tt0019344,7.2,2438
14,George Barnes,The Devil Dancer;,1,1928,Cinematography,False,nm0055604,tt0017806,https://www.imdb.com/title/tt0017806/,https://www.imdb.com/name/nm0055604/,tt0017806,5.3,30
15,George Barnes,The Magic Flame;,1,1928,Cinematography,False,nm0055604,tt0018129,https://www.imdb.com/title/tt0018129/,https://www.imdb.com/name/nm0055604/,tt0018129,4.8,25
16,Lewis Milestone,Two Arabian Knights,1,1928,Director,True,nm0587277,tt0018515,https://www.imdb.com/title/tt0018515/,https://www.imdb.com/name/nm0587277/,tt0018515,6.7,840
17,Ted Wilde,Speedy,1,1928,Director,False,nm0928514,tt0018435,https://www.imdb.com/title/tt0018435/,https://www.imdb.com/name/nm0928514/,tt0018435,7.2,6
18,Herbert Brenon,Sorrell and Son,1,1928,Director,False,nm0107543,tt0018429,https://www.imdb.com/title/tt0018429/,https://www.imdb.com/name/nm0107543/,tt0018429,5.9,44
19,King Vidor,The Crowd,1,1928,Director,False,nm0896542,tt0018806,https://www.imdb.com/title/tt0018806/,https://www.imdb.com/name/nm0896542/,tt0018806,8.1,7046
20,George Bancroft,Thunderbolt,2,1929,LeadingActor,True,nm0051628,tt0020499,https://www.imdb.com/title/tt0020499/,https://www.imdb.com/name/nm0051628/,tt0020499,6.6,481
21,Warner Baxter,In Old Arizona,2,1929,LeadingActor,False,nm0062828,tt0020018,https://www.imdb.com/title/tt0020018/,https://www.imdb.com/name/nm0062828/,tt0020018,5.6,837
22,Arthur Edeson,In Old Arizona,2,1929,Cinematography,True,nm0249186,tt0020018,https://www.imdb.com/title/tt0020018/,https://www.imdb.com/name/nm0249186/,tt0020018,5.6,837
23,Irving Cummings,In Old Arizona,2,1929,Director,True,nm0191899,tt0020018,https://www.imdb.com/title/tt0020018/,https://www.imdb.com/name/nm0191899/,tt0020018,5.6,837
24,Chester Morris,Alibi,2,1929,LeadingActor,True,nm0606431,tt0019630,https://www.imdb.com/title/tt0019630/,https://www.imdb.com/name/nm0606431/,tt0019630,5.9,619
25,Paul Muni,The Valiant,2,1929,LeadingActor,True,nm0612847,tt0020543,https://www.imdb.com/title/tt0020543/,https://www.imdb.com/name/nm0612847/,tt0020543,6.0,297
26,Ruth Chatterton,Madame X,2,1929,LeadingActress,True,nm0154183,tt0020126,https://www.imdb.com/title/tt0020126/,https://www.imdb.com/name/nm0154183/,tt0020126,6.0,402
27,Lionel Barrymore,Madame X,2,1929,Director,True,nm0000859,tt0020126,https://www.imdb.com/title/tt0020126/,https://www.imdb.com/name/nm0000859/,tt0020126,6.0,402
28,Betty Compson,The Barker,2,1929,LeadingActress,True,nm0173993,tt0018674,https://www.imdb.com/title/tt0018674/,https://www.imdb.com/name/nm0173993/,tt0018674,7.1,68
29,Jeanne Eagels,The Letter,2,1929,LeadingActress,True,nm0247074,tt0020092,https://www.imdb.com/title/tt0020092/,https://www.imdb.com/name/nm0247074/,tt0020092,6.7,580
30,Corinne Griffith,The Divine Lady,2,1929,LeadingActress,True,nm0341464,tt0019824,https://www.imdb.com/title/tt0019824/,https://www.imdb.com/name/nm0341464/,tt0019824,6.3,622
31,John Seitz,The Divine Lady,2,1929,Cinematography,True,nm0005870,tt0019824,https://www.imdb.com/title/tt0019824/,https://www.imdb.com/name/nm0005870/,tt0019824,6.3,622
32,Bessie Love,The Broadway Melody,2,1929,LeadingActress,True,nm0522281,tt0019729,https://www.imdb.com/title/tt0019729/,https://www.imdb.com/name/nm0522281/,tt0019729,5.7,6061
33,Harry Beaumont,The Broadway Melody,2,1929,Director,True,nm0064600,tt0019729,https://www.imdb.com/title/tt0019729/,https://www.imdb.com/name/nm0064600/,tt0019729,5.7,6061
34,Mary Pickford,Coquette,2,1929,LeadingActress,False,nm0681933,tt0019788,https://www.imdb.com/title/tt0019788/,https://www.imdb.com/name/nm0681933/,tt0019788,5.8,1929
35,George Barnes,Our Dancing Daughters,2,1929,Cinematography,True,nm0055604,tt0019237,https://www.imdb.com/title/tt0019237/,https://www.imdb.com/name/nm0055604/,tt0019237,6.8,1460
36,Clyde De Vinna,White Shadows in the South Seas,2,1929,Cinematography,False,nm0005682,tt0019574,https://www.imdb.com/title/tt0019574/,https://www.imdb.com/name/nm0005682/,tt0019574,6.9,727
37,Ernest Palmer,Four Devils;,2,1929,Cinematography,True,nm0005823,tt0018907,https://www.imdb.com/title/tt0018907/,https://www.imdb.com/name/nm0005823/,tt0018907,6.3,127
38,Frank Lloyd,Drag;,2,1929,Director,True,nm0515979,tt0019833,https://www.imdb.com/title/tt0019833/,https://www.imdb.com/name/nm0515979/,tt0019833,6.3,30
39,Frank Lloyd,Weary River,2,1929,Director,True,nm0515979,tt0019557,https://www.imdb.com/title/tt0019557/,https://www.imdb.com/name/nm0515979/,tt0019557,6.1,370
40,George Arliss,The Green Goddess,3,1930,LeadingActor,True,nm0002183,tt0020938,https://www.imdb.com/title/tt0020938/,https://www.imdb.com/name/nm0002183/,tt0020938,5.5,299
41,Wallace Beery,The Big House,3,1930,LeadingActor,False,nm0000891,tt0020686,https://www.imdb.com/title/tt0020686/,https://www.imdb.com/name/nm0000891/,tt0020686,7.1,1714
42,Maurice Chevalier,The Big Pond,3,1930,LeadingActor,False,nm0002001,tt0020690,https://www.imdb.com/title/tt0020690/,https://www.imdb.com/name/nm0002001/,tt0020690,5.9,199
43,Maurice Chevalier,The Love Parade,3,1930,LeadingActor,False,nm0002001,tt0020112,https://www.imdb.com/title/tt0020112/,https://www.imdb.com/name/nm0002001/,tt0020112,7.1,1836
