,birthplace,date_of_birth,race_ethnicity,religion,religion:confidence,sexual_orientation,year_of_award,award,biourl,movie,person,movieID,movie_IMDB_Link
430,"Melbourne, Victoria, Australia",14-May-69,White,Na,1.0,Straight,2005,Best Supporting Actress,http://www.nndb.com/people/222/000026144/,The Aviator,Cate Blanchett,tt0338751,https://www.imdb.com/title/tt0338751/
431,"London, England",7-Mar-71,White,Jewish,1.0,Straight,2006,Best Supporting Actress,http://www.nndb.com/people/309/000032213/,The Constant Gardener,Rachel Weisz,tt0387131,https://www.imdb.com/title/tt0387131/
432,"London, England",7-Mar-71,White,Jewish,1.0,Straight,2006,Best Supporting Actress,http://www.nndb.com/people/309/000032213/,The Constant Gardener,Rachel Weisz,tt0387131,https://www.imdb.com/title/tt0387131/
433,"Chicago, Il",12-Sep-81,Black,Baptist,1.0,Straight,2007,Best Supporting Actress,http://www.nndb.com/people/434/000129047/,Dreamgirls,Jennifer Hudson,tt0443489,https://www.imdb.com/title/tt0443489/
434,"London, England",5-Nov-60,White,Na,1.0,Straight,2007,Best Supporting Actress,http://www.nndb.com/people/178/000108851/,Michael Clayton,Tilda Swinton,tt0465538,https://www.imdb.com/title/tt0465538/
435,"Madrid, Spain",28-Apr-74,Hispanic,Buddhist,1.0,Straight,2009,Best Supporting Actress,http://www.nndb.com/people/748/000025673/,Vicky Cristina Barcelona,Penelope Cruz,tt0497465,https://www.imdb.com/title/tt0497465/
436,"Woodlawn, Md",11-Dec-67,Black,Na,1.0,Straight,2010,Best Supporting Actress,http://www.nndb.com/people/836/000131443/,Precious,Mo'Nique,tt0929632,https://www.imdb.com/title/tt0929632/
437,"Woodlawn, Md",11-Dec-67,Black,Na,1.0,Straight,2010,Best Supporting Actress,http://www.nndb.com/people/836/000131443/,Precious,Mo'Nique,tt0929632,https://www.imdb.com/title/tt0929632/
438,"Montgomery, Al",25-May-72,Black,Na,1.0,Na,2012,Best Supporting Actress,http://www.nndb.com/people/304/000281458/,The Help,Octavia Spencer,tt1454029,https://www.imdb.com/title/tt1454029/
439,"Brooklyn, Ny",12-Nov-82,White,Christian,1.0,Straight,2013,Best Supporting Actress,http://www.nndb.com/people/220/000032124/,Les MisÌ©rables,Anne Hathaway,tt1707386,https://www.imdb.com/title/tt1707386/
440,"Mexico City, Mexico",1-Mar-83,Black,Na,1.0,Na,2014,Best Supporting Actress,http://www.nndb.com/people/570/000380427/,12 Years a Slave,Lupita Nyong'o,tt2024544,https://www.imdb.com/title/tt2024544/
