,budget,genre,id,imdb_id,overview,original_title,popularity,revenue,release_date,title,year,is_winner
142,4696772,Romance,398818,tt5726616,"Elio Perlman is spending the summer with his family at their vacation home in Lombardy, Italy. When his father hires a handsome doctoral student, the curious 17-year-old finds himself developing a growing attraction to the young man.",Call Me by Your Name,4.300874,0,10/27/2017,Call Me by Your Name,2017,FALSE
143,4696772,Drama,398818,tt5726616,"Elio Perlman is spending the summer with his family at their vacation home in Lombardy, Italy. When his father hires a handsome doctoral student, the curious 17-year-old finds himself developing a growing attraction to the young man.",Call Me by Your Name,4.300874,0,10/27/2017,Call Me by Your Name,2017,FALSE
236,100000000,Action,374720,tt5013056,"The miraculous evacuation of Allied soldiers from Belgium, Britain, Canada and France, who were cut off and surrounded by the German army from the beaches and harbor of Dunkirk, France, between May 26th and June 4th 1940, during the Battle of France in World War II.",Dunkirk,30.938854,519876949,7/19/2017,Dunkirk,2017,FALSE
237,100000000,Drama,374720,tt5013056,"The miraculous evacuation of Allied soldiers from Belgium, Britain, Canada and France, who were cut off and surrounded by the German army from the beaches and harbor of Dunkirk, France, between May 26th and June 4th 1940, during the Battle of France in World War II.",Dunkirk,30.938854,519876949,7/19/2017,Dunkirk,2017,FALSE
238,100000000,History,374720,tt5013056,"The miraculous evacuation of Allied soldiers from Belgium, Britain, Canada and France, who were cut off and surrounded by the German army from the beaches and harbor of Dunkirk, France, between May 26th and June 4th 1940, during the Battle of France in World War II.",Dunkirk,30.938854,519876949,7/19/2017,Dunkirk,2017,FALSE
239,100000000,Thriller,374720,tt5013056,"The miraculous evacuation of Allied soldiers from Belgium, Britain, Canada and France, who were cut off and surrounded by the German army from the beaches and harbor of Dunkirk, France, between May 26th and June 4th 1940, during the Battle of France in World War II.",Dunkirk,30.938854,519876949,7/19/2017,Dunkirk,2017,FALSE
240,100000000,War,374720,tt5013056,"The miraculous evacuation of Allied soldiers from Belgium, Britain, Canada and France, who were cut off and surrounded by the German army from the beaches and harbor of Dunkirk, France, between May 26th and June 4th 1940, during the Battle of France in World War II.",Dunkirk,30.938854,519876949,7/19/2017,Dunkirk,2017,FALSE
277,5000000,Mystery,419430,tt5052448,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.",Get Out,36.894806,252434250,2/24/2017,Get Out,2017,FALSE
278,5000000,Thriller,419430,tt5052448,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.",Get Out,36.894806,252434250,2/24/2017,Get Out,2017,FALSE
279,5000000,Horror,419430,tt5052448,"Chris and his girlfriend Rose go upstate to visit her parents for the weekend. At first, Chris reads the family's overly accommodating behavior as nervous attempts to deal with their daughter's interracial relationship, but as the weekend progresses, a series of increasingly disturbing discoveries lead him to a truth that he never could have imagined.",Get Out,36.894806,252434250,2/24/2017,Get Out,2017,FALSE
